age_years,gender_id,district_id,police_station_id,initial_gravity_offence_id,initial_crime_major_head_id,initial_crime_minor_head_id,initial_hour_of_day,initial_day_of_week,initial_month,initial_is_weekend,initial_is_night_time,initial_co_offender_count,recidivism_flag
33,2,12,14,2,2,12,7,6,9,1,0,2,0
35,2,13,2,1,2,3,23,3,1,0,1,2,1
51,2,6,18,2,5,11,15,6,1,1,0,2,0
53,2,19,7,1,2,12,9,4,9,0,0,3,0
65,2,16,4,2,2,3,11,2,1,0,0,2,0
69,2,16,4,1,5,11,7,1,2,0,0,1,0
20,3,5,16,1,3,8,9,3,10,0,0,2,0
27,3,5,16,2,3,4,0,0,9,0,1,2,0
30,3,9,10,1,1,7,21,4,3,0,0,2,1
45,3,6,18,1,1,5,17,2,5,0,0,1,0
53,3,12,14,2,5,1,22,1,1,0,1,1,0
56,3,4,11,1,5,9,1,4,9,0,1,2,0
62,3,19,7,2,1,5,8,5,1,1,0,2,0
68,3,6,18,2,3,8,3,1,5,0,1,2,0
73,3,7,20,2,4,10,11,1,9,0,0,3,0
74,3,2,5,2,2,2,5,3,12,0,1,3,0
29,1,18,13,2,2,3,9,0,3,0,0,2,0
30,1,6,18,2,1,7,18,1,5,0,0,1,1
39,1,10,15,1,1,7,12,6,12,1,0,3,0
51,1,8,3,1,1,6,13,2,1,0,0,1,1
60,1,11,17,2,2,3,12,4,7,0,0,1,0
66,1,6,18,2,5,1,15,1,4,0,0,2,0
18,2,8,3,1,2,12,20,2,5,0,0,1,0
21,2,17,6,2,5,9,12,3,2,0,0,1,0
30,2,1,19,2,5,9,15,1,5,0,0,3,1
32,2,1,19,2,2,2,1,4,8,0,1,2,0
35,2,1,19,2,2,3,22,6,6,1,1,1,0
37,2,18,13,1,1,5,19,0,2,0,0,1,0
73,2,5,16,1,2,3,2,5,1,1,1,2,0
18,3,6,18,2,5,9,1,2,5,0,1,2,1
30,3,8,3,2,1,6,20,0,1,0,0,2,1
38,3,11,17,2,4,10,10,2,8,0,0,3,0
41,3,17,6,2,1,7,21,0,6,0,0,1,0
46,3,10,15,2,5,1,14,4,3,0,0,1,0
58,3,19,7,2,3,4,10,6,10,1,0,2,0
67,3,4,11,2,5,11,18,2,7,0,0,3,0
69,3,17,6,2,5,1,3,6,7,1,1,2,0
75,3,20,9,1,2,12,4,5,7,1,1,1,0
19,1,1,19,1,2,12,3,0,10,0,1,2,0
30,1,20,9,1,3,4,9,4,1,0,0,1,1
34,1,14,12,2,4,10,21,6,2,1,0,1,0
47,1,7,20,1,1,6,6,3,6,0,0,1,0
30,2,7,20,2,2,2,14,6,4,1,0,2,1
50,2,4,11,2,1,6,5,2,5,0,1,1,0
55,2,1,19,1,5,9,10,6,10,1,0,2,0
66,2,2,5,2,3,8,7,3,9,0,0,2,0
71,2,16,4,2,5,11,22,6,12,1,1,1,0
20,3,10,15,1,2,3,19,3,7,0,0,3,0
23,3,4,11,1,5,9,17,1,2,0,0,2,1
29,3,13,2,2,5,1,15,5,10,1,0,1,0
30,3,5,16,1,2,12,18,6,2,1,0,2,1
46,3,4,11,2,2,3,20,1,6,0,0,1,0
67,3,19,7,2,1,5,5,1,3,0,1,1,0
27,1,12,14,2,5,1,4,6,4,1,1,2,0
30,1,3,8,1,1,6,0,5,2,1,1,2,1
31,1,19,7,1,1,6,21,0,3,0,0,2,0
46,1,16,4,2,4,10,7,4,10,0,0,2,0
68,1,2,5,1,3,4,4,5,2,1,1,1,0
71,1,14,12,2,1,6,22,0,6,0,1,1,0
73,1,9,10,2,3,4,12,4,6,0,0,3,0
18,2,6,18,1,2,2,17,6,11,1,0,2,0
22,2,18,13,1,5,1,23,5,7,1,1,1,0
25,2,18,13,2,2,12,10,4,12,0,0,1,0
30,2,13,2,1,5,1,18,5,5,1,0,3,1
42,2,16,4,1,5,11,9,6,8,1,0,1,0
53,2,8,3,2,4,10,22,1,1,0,1,3,0
70,2,18,13,2,5,11,6,6,3,1,0,3,0
75,2,11,17,1,3,8,9,1,9,0,0,3,0
18,3,12,14,2,5,9,19,0,11,0,0,3,0
30,3,13,2,2,5,11,1,4,6,0,1,2,1
33,3,20,9,1,3,4,12,3,4,0,0,1,0
57,3,17,6,1,3,4,16,0,10,0,0,2,0
61,3,8,3,2,5,1,10,1,6,0,0,3,0
69,3,20,9,1,2,12,15,5,9,1,0,2,0
71,3,2,5,2,2,12,14,6,3,1,0,2,0
22,1,6,18,2,5,11,16,1,2,0,0,1,1
26,1,5,16,1,5,1,20,0,1,0,0,2,1
30,1,9,10,2,4,10,10,6,7,1,0,2,1
36,1,15,1,2,1,6,4,2,6,0,1,1,0
37,1,13,2,1,5,9,20,5,4,1,0,1,0
39,1,14,12,2,5,11,19,3,10,0,0,1,0
52,1,13,2,1,2,3,23,0,7,0,1,3,0
57,1,3,8,1,1,6,5,3,2,0,1,1,0
60,1,1,19,1,3,4,19,2,9,0,0,1,0
66,1,8,3,2,3,8,13,2,2,0,0,1,0
19,2,4,11,1,5,9,14,1,5,0,0,1,0
22,2,9,10,2,3,8,4,5,8,1,1,1,0
30,2,18,13,2,5,9,10,3,3,0,0,3,1
35,2,15,1,2,1,5,5,1,12,0,1,2,0
37,2,3,8,1,5,11,10,3,7,0,0,1,1
45,2,16,4,2,4,10,5,0,5,0,1,1,0
57,2,4,11,2,2,12,6,0,9,0,0,1,0
58,2,10,15,1,1,5,17,0,5,0,0,3,0
65,2,2,5,1,1,7,2,3,5,0,1,2,0
68,2,6,18,1,1,5,10,3,10,0,0,1,0
75,2,8,3,2,1,5,21,2,10,0,0,3,0
30,3,10,15,1,1,6,21,2,1,0,0,3,1
39,3,13,2,1,1,6,3,2,8,0,1,1,0
41,3,12,14,2,4,10,8,0,2,0,0,2,0
55,3,5,16,2,2,2,12,0,1,0,0,1,0
60,3,19,7,1,5,9,1,2,3,0,1,1,0
62,3,14,12,2,2,12,17,4,9,0,0,1,0
63,3,7,20,1,1,6,3,6,12,1,1,3,0
21,1,10,15,2,3,8,4,6,2,1,1,3,0
28,1,7,20,1,2,12,14,6,9,1,0,3,0
30,1,18,13,1,1,7,16,4,3,0,0,2,1
36,1,13,2,2,4,10,12,0,7,0,0,3,0
42,1,2,5,1,3,4,2,4,2,0,1,1,0
43,1,5,16,2,2,3,3,3,2,0,1,3,1
57,1,11,17,2,2,3,18,3,12,0,0,3,1
65,1,20,9,1,2,2,4,5,6,1,1,1,0
30,2,5,16,1,2,12,13,2,4,0,0,1,1
71,2,14,12,1,3,8,15,4,2,0,0,1,0
20,3,12,14,1,1,5,13,2,4,0,0,2,0
30,3,15,1,2,3,4,23,2,1,0,1,1,1
33,3,20,9,1,3,4,13,0,4,0,0,2,0
37,3,17,6,1,5,9,2,3,9,0,1,1,0
44,3,12,14,1,3,4,18,6,10,1,0,1,0
55,3,12,14,1,1,7,15,3,12,0,0,2,0
60,3,2,5,2,2,3,21,0,1,0,0,2,0
67,3,14,12,2,1,5,4,2,3,0,1,2,0
69,3,16,4,1,5,11,18,3,11,0,0,1,0
72,3,5,16,1,2,2,6,4,2,0,0,1,0
22,1,18,13,2,3,4,13,3,3,0,0,3,0
30,1,19,7,1,2,2,0,0,4,0,1,1,1
37,1,11,17,1,4,10,15,6,7,1,0,2,0
26,2,19,7,2,2,2,11,3,3,0,0,2,0
27,2,20,9,1,2,12,23,0,8,0,1,2,0
30,2,9,10,2,5,1,9,4,4,0,0,3,1
48,2,9,10,1,1,7,15,2,10,0,0,3,0
68,2,4,11,2,1,6,6,0,11,0,0,2,0
75,2,3,8,1,2,3,13,2,11,0,0,3,0
30,3,13,2,1,5,9,13,1,9,0,0,3,1
34,3,3,8,2,1,7,18,4,7,0,0,3,0
38,3,4,11,2,3,8,8,5,7,1,0,1,0
57,3,13,2,2,2,3,16,6,7,1,0,3,0
68,3,15,1,2,2,12,23,2,3,0,1,3,0
73,3,13,2,2,4,10,9,5,8,1,0,1,0
30,1,13,2,1,5,1,18,5,5,1,0,3,1
46,1,20,9,1,1,5,9,4,2,0,0,3,0
55,1,4,11,2,1,7,23,0,1,0,1,1,0
56,1,19,7,2,1,5,2,5,11,1,1,2,0
60,1,15,1,2,2,2,19,3,9,0,0,3,0
67,1,18,13,2,2,3,2,1,7,0,1,2,0
26,2,9,10,1,1,5,14,1,4,0,0,2,0
30,2,3,8,1,3,4,13,5,4,1,0,3,1
46,2,16,4,1,5,1,5,1,11,0,1,1,0
60,2,18,13,1,5,11,23,6,4,1,1,1,0
65,2,8,3,2,3,8,18,4,3,0,0,1,0
71,2,8,3,2,2,12,20,0,1,0,0,3,0
75,2,17,6,1,1,5,5,5,5,1,1,2,0
18,3,13,2,1,2,2,4,1,3,0,1,1,0
19,3,12,14,1,5,9,17,2,8,0,0,1,0
20,3,4,11,1,5,11,1,3,8,0,1,1,0
29,3,3,8,1,5,1,9,0,7,0,0,2,0
30,3,10,15,1,4,10,6,1,5,0,0,1,1
32,3,5,16,1,2,12,18,6,2,1,0,2,0
36,3,11,17,1,5,9,3,1,6,0,1,3,0
48,3,13,2,2,2,2,18,6,6,1,0,1,0
67,3,14,12,2,3,8,3,4,6,0,1,1,0
30,1,8,3,1,2,2,9,5,12,1,0,2,1
34,1,13,2,1,2,12,15,3,10,0,0,1,0
41,1,7,20,1,1,5,9,6,4,1,0,2,0
47,1,13,2,2,2,2,17,0,9,0,0,3,0
50,1,5,16,2,1,5,17,0,2,0,0,1,0
61,1,9,10,2,5,11,3,6,11,1,1,1,0
30,2,12,14,2,2,12,18,6,6,1,0,1,1
35,2,20,9,2,4,10,11,1,8,0,0,3,0
67,2,18,13,1,2,3,0,3,6,0,1,2,0
75,2,18,13,2,1,5,19,3,3,0,0,2,0
23,3,13,2,1,2,2,13,0,11,0,0,1,0
30,3,12,14,1,2,2,8,5,5,1,0,2,1
33,3,11,17,2,3,8,19,6,1,1,0,2,0
44,3,4,11,2,5,11,22,4,3,0,1,2,0
51,3,5,16,1,5,1,17,3,1,0,0,1,0
61,3,5,16,1,3,4,23,3,10,0,1,2,0
64,3,1,19,1,1,6,12,0,2,0,0,1,0
73,3,11,17,2,5,11,3,4,2,0,1,1,0
19,1,13,2,2,2,3,6,4,5,0,0,2,0
21,1,18,13,2,1,5,3,3,5,0,1,3,0
27,1,19,7,1,1,7,6,5,10,1,0,1,0
30,1,18,13,2,5,11,8,4,1,0,0,1,1
33,1,7,20,2,2,3,12,0,4,0,0,2,0
35,1,16,4,1,2,3,5,1,12,0,1,1,0
38,1,7,20,2,1,5,16,5,7,1,0,3,0
39,1,8,3,2,5,1,2,2,3,0,1,2,0
42,1,9,10,2,2,12,15,0,11,0,0,3,0
63,1,2,5,2,3,8,18,6,5,1,0,3,0
68,1,1,19,2,3,4,6,0,10,0,0,3,0
24,2,4,11,2,3,8,12,4,3,0,0,1,0
27,2,2,5,2,4,10,17,0,6,0,0,1,0
30,2,20,9,1,1,6,1,2,3,0,1,3,1
32,2,10,15,1,2,3,2,1,12,0,1,1,0
44,2,16,4,1,4,10,11,3,3,0,0,2,0
58,2,14,12,1,1,6,8,1,5,0,0,1,0
64,2,5,16,2,1,6,13,0,7,0,0,1,0
66,2,11,17,1,2,2,5,6,6,1,1,1,0
67,2,6,18,1,1,7,15,4,9,0,0,2,0
70,2,19,7,2,1,7,11,6,8,1,0,1,0
73,2,17,6,1,2,2,12,3,7,0,0,2,0
22,3,6,18,2,3,4,2,5,8,1,1,1,1
28,3,6,18,2,3,8,5,4,2,0,1,3,0
30,3,3,8,2,2,2,10,3,9,0,0,1,1
58,3,17,6,1,5,1,19,5,1,1,0,1,0
62,3,7,20,1,1,7,21,0,2,0,0,2,0
26,1,6,18,2,5,9,0,6,10,1,1,1,0
30,1,9,10,2,3,4,16,2,12,0,0,1,1
31,1,11,17,1,2,12,9,4,10,0,0,2,0
48,1,8,3,1,1,6,20,4,1,0,0,2,1
53,1,1,19,2,3,8,16,5,6,1,0,2,0
67,1,19,7,1,3,8,17,3,4,0,0,2,0
25,2,2,5,2,1,6,5,5,4,1,1,2,0
30,2,4,11,2,2,3,14,0,4,0,0,2,1
37,2,12,14,1,5,9,7,3,10,0,0,1,0
46,2,3,8,2,5,11,4,2,3,0,1,1,0
54,2,16,4,1,1,5,18,3,1,0,0,1,0
71,2,12,14,2,5,9,8,1,4,0,0,2,0
30,3,3,8,1,3,4,15,2,8,0,0,2,1
39,3,20,9,1,5,9,21,0,7,0,0,1,0
45,3,9,10,2,2,12,4,3,9,0,1,3,0
49,3,6,18,1,5,1,3,4,1,0,1,2,1
53,3,6,18,2,1,6,14,1,9,0,0,1,0
55,3,17,6,2,4,10,10,1,8,0,0,1,0
64,3,1,19,2,3,8,2,5,2,1,1,2,0
70,3,12,14,1,2,2,17,3,12,0,0,3,0
30,1,1,19,1,2,12,9,2,1,0,0,2,1
34,1,11,17,2,1,6,7,1,5,0,0,3,0
40,1,9,10,1,4,10,18,5,5,1,0,1,0
54,1,9,10,2,1,6,4,4,10,0,1,1,0
18,2,15,1,1,5,1,18,4,9,0,0,2,0
30,2,10,15,1,3,4,10,0,7,0,0,2,1
35,2,17,6,1,5,9,3,4,8,0,1,2,0
53,2,17,6,1,3,4,17,3,1,0,0,1,0
60,2,8,3,1,3,4,11,2,1,0,0,2,0
69,2,13,2,2,4,10,9,2,10,0,0,1,0
20,3,3,8,2,2,3,13,2,9,0,0,3,0
21,3,9,10,2,5,9,22,5,4,1,1,1,0
