CaseMasterID,DistrictID,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,gravity_offence_id,latitude,longitude,hour_of_day,day_of_week,month,is_weekend,is_night_time,hist_station_crime_count_30d,hist_district_crime_count_30d,risk_tier_id
58,5,16,5,1,1,12.9395,77.5276,15,3,9,0,0,761,925,2
59,12,14,5,1,2,13.1482,78.0941,18,6,2,1,0,835,908,3
60,8,3,5,11,2,14.393,75.8841,16,4,11,0,0,778,778,3
61,18,13,2,12,1,13.333,77.0983,10,1,6,0,0,834,916,2
62,5,16,2,2,1,13.0278,77.5449,8,1,12,0,0,761,925,2
63,12,14,2,12,2,13.2003,78.0756,10,6,11,1,0,835,908,3
64,6,18,2,3,2,17.861,77.5708,7,0,7,0,0,840,922,3
65,11,17,2,2,1,17.3748,76.7739,4,6,7,1,1,717,873,2
66,18,13,4,10,2,13.361,77.0587,19,0,3,0,0,834,916,3
67,10,15,2,3,1,15.4361,75.1441,20,1,9,0,0,826,826,2
68,9,10,5,11,2,12.9487,76.1503,22,1,2,0,1,838,926,3
69,12,14,1,5,1,13.199,78.0991,0,1,12,0,1,835,908,3
70,10,15,5,1,1,15.3509,75.1206,12,2,10,0,0,826,826,2
71,12,14,2,3,1,13.062,78.0785,1,3,7,0,1,835,908,3
72,14,12,5,1,1,12.9808,74.8424,8,6,8,1,0,778,778,2
73,13,2,1,7,2,12.5859,76.9655,0,1,8,0,1,818,904,3
74,17,6,5,1,2,13.9029,75.5773,3,6,7,1,1,869,951,3
75,7,20,3,8,2,13.3291,75.8032,23,2,5,0,1,704,879,3
76,19,7,1,6,1,13.348,74.6634,10,2,3,0,0,887,963,2
77,1,19,2,3,1,16.1357,75.7415,8,0,3,0,0,716,716,2
78,11,17,3,8,2,17.3557,76.7657,8,3,3,0,0,717,873,3
79,19,7,5,9,1,13.3235,74.785,8,5,3,1,0,887,963,2
80,6,18,5,11,2,17.9351,77.4586,15,6,1,1,0,840,922,3
81,13,2,2,2,2,12.5875,76.9132,17,5,8,1,0,818,904,3
82,4,11,5,1,2,13.3263,77.549,21,5,1,1,0,767,913,3
83,4,11,5,9,1,13.3413,77.5786,12,2,5,0,0,767,913,2
84,4,11,2,2,2,13.2548,77.5693,9,4,2,0,0,767,913,3
85,20,9,3,8,2,16.8457,75.7658,11,4,5,0,0,816,897,3
86,6,18,3,8,1,17.9562,77.4613,22,2,6,0,1,840,922,3
87,8,3,3,8,1,14.423,75.9553,11,5,8,1,0,778,778,2
88,8,3,3,8,1,14.4356,75.9624,3,0,5,0,1,778,778,3
89,11,17,2,2,1,17.3184,76.7826,16,5,4,1,0,717,873,2
90,11,17,1,5,2,17.3997,76.7747,5,3,6,0,1,717,873,3
91,11,17,4,10,1,17.2542,76.7618,0,3,9,0,1,717,873,2
92,15,1,2,2,2,12.3059,76.6819,20,5,9,1,0,786,908,3
93,14,12,5,1,1,12.9603,74.808,2,0,9,0,1,778,778,3
94,13,2,1,7,1,12.5662,76.8575,3,2,9,0,1,818,904,3
95,7,20,3,8,1,13.3526,75.7317,22,6,7,1,1,704,879,2
96,1,19,1,6,2,16.215,75.7456,22,0,4,0,1,716,716,3
97,6,18,1,7,1,17.9241,77.5487,2,1,1,0,1,840,922,3
98,20,9,1,6,1,16.7767,75.6459,5,5,2,1,1,816,897,3
99,2,5,1,6,2,15.2006,76.9434,11,4,6,0,0,763,934,3
100,1,19,5,11,2,16.1079,75.7502,12,3,6,0,0,716,716,3
101,5,16,5,11,2,12.9785,77.6615,19,4,4,0,0,761,925,3
102,2,5,5,11,2,15.1771,76.9317,3,1,6,0,1,763,934,3
103,11,17,5,1,2,17.3563,76.774,14,4,3,0,0,717,873,3
104,5,16,1,5,1,12.8983,77.6652,0,0,1,0,1,761,925,2
105,18,13,5,11,2,13.2622,77.0754,6,6,3,1,0,834,916,3
106,1,19,2,12,2,16.2476,75.656,18,0,9,0,0,716,716,3
107,3,8,3,8,2,15.8325,74.4673,15,0,9,0,0,790,972,3
108,2,5,5,1,1,15.1246,76.847,16,1,11,0,0,763,934,2
109,7,20,2,3,1,13.3214,75.7261,1,6,1,1,1,704,879,2
110,3,8,3,4,1,15.8064,74.5657,13,5,4,1,0,790,972,2
111,9,10,2,2,1,12.982,76.1457,1,3,2,0,1,838,926,3
112,15,1,3,8,2,12.2388,76.6716,14,5,2,1,0,786,908,3
113,15,1,4,10,1,12.2621,76.6962,1,6,8,1,1,786,908,3
114,8,3,1,7,1,14.4519,75.8609,22,0,5,0,1,778,778,3
115,11,17,5,1,2,17.3714,76.8863,12,4,11,0,0,717,873,3
116,13,2,5,1,2,12.5301,76.9555,17,0,5,0,0,818,904,3
117,9,10,1,5,2,13.0037,76.1057,22,1,7,0,1,838,926,3
118,6,18,1,6,1,17.9802,77.4458,7,1,8,0,0,840,922,2
119,11,17,3,8,1,17.3618,76.7801,1,1,11,0,1,717,873,2
120,16,4,2,3,1,12.6827,77.2211,15,1,2,0,0,782,872,2
121,16,4,2,12,1,12.6714,77.2287,0,1,1,0,1,782,872,3
122,2,5,3,4,2,15.1709,76.9846,12,2,10,0,0,763,934,3
123,12,14,3,4,1,13.1794,78.1311,18,2,4,0,0,835,908,2
124,4,11,2,12,1,13.355,77.523,16,3,11,0,0,767,913,2
125,7,20,5,1,1,13.3676,75.6997,14,0,5,0,0,704,879,2
126,15,1,2,12,2,12.3457,76.6515,22,4,5,0,1,786,908,3
127,10,15,2,2,1,15.2961,75.1943,23,6,9,1,1,826,826,3
128,13,2,3,8,1,12.5531,76.8966,8,6,2,1,0,818,904,2
129,7,20,3,8,1,13.3536,75.8277,23,0,12,0,1,704,879,2
130,3,8,3,4,1,15.7784,74.4828,22,3,2,0,1,790,972,3
131,2,5,1,6,2,15.2066,76.9487,8,0,1,0,0,763,934,3
132,6,18,5,1,2,17.8799,77.4661,2,2,11,0,1,840,922,3
133,3,8,3,8,1,15.8466,74.4595,15,1,7,0,0,790,972,2
134,10,15,5,11,1,15.3196,75.1586,4,3,9,0,1,826,826,3
135,3,8,3,8,1,15.8038,74.4547,6,4,3,0,0,790,972,2
136,19,7,3,4,1,13.3301,74.764,3,5,1,1,1,887,963,3
137,4,11,1,5,2,13.3259,77.619,12,5,6,1,0,767,913,3
138,13,2,3,4,1,12.4773,76.9061,15,6,7,1,0,818,904,2
139,4,11,4,10,1,13.2148,77.5117,17,2,12,0,0,767,913,2
140,16,4,4,10,2,12.7417,77.2603,12,3,1,0,0,782,872,3
141,1,19,5,9,2,16.1759,75.6197,12,6,11,1,0,716,716,3
142,7,20,5,9,2,13.3595,75.8136,21,5,7,1,0,704,879,3
143,1,19,2,3,1,16.2485,75.7204,23,6,9,1,1,716,716,2
144,18,13,5,11,1,13.2761,77.0369,0,6,11,1,1,834,916,3
145,17,6,5,9,1,13.9904,75.6431,10,2,10,0,0,869,951,2
146,20,9,1,6,2,16.8989,75.7377,4,1,6,0,1,816,897,3
147,7,20,5,9,2,13.2653,75.7985,11,3,12,0,0,704,879,3
148,12,14,1,7,1,13.1545,78.1053,15,3,12,0,0,835,908,2
149,1,19,5,9,1,16.1057,75.6373,12,4,9,0,0,716,716,2
150,1,19,2,12,2,16.194,75.7228,9,2,1,0,0,716,716,3
151,2,5,1,7,1,15.086,76.9362,11,6,10,1,0,763,934,2
152,1,19,2,2,1,16.1392,75.696,9,2,6,0,0,716,716,2
153,1,19,1,6,1,16.2248,75.6589,12,5,7,1,0,716,716,2
154,1,19,3,4,2,16.1913,75.656,22,6,1,1,1,716,716,3
155,9,10,5,9,2,13.0666,76.1619,21,4,7,0,0,838,926,3
156,4,11,3,8,2,13.337,77.558,20,3,8,0,0,767,913,3
157,16,4,1,5,1,12.7626,77.3259,23,2,3,0,1,782,872,3
158,10,15,2,3,1,15.3298,75.1106,9,4,8,0,0,826,826,2
159,4,11,1,7,2,13.3534,77.4967,11,2,5,0,0,767,913,3
160,9,10,2,2,1,13.0603,76.1258,19,1,5,0,0,838,926,2
161,17,6,3,8,1,13.9975,75.6384,23,2,5,0,1,869,951,3
162,10,15,1,7,1,15.4365,75.1572,0,3,4,0,1,826,826,3
163,15,1,2,12,1,12.2294,76.5684,7,5,10,1,0,786,908,2
164,1,19,5,1,1,16.1402,75.6996,1,0,8,0,1,716,716,2
165,12,14,5,11,2,13.1494,78.0576,6,5,1,1,0,835,908,3
166,1,19,1,6,1,16.2599,75.68,19,1,7,0,0,716,716,2
167,10,15,5,9,2,15.3273,75.0598,16,6,4,1,0,826,826,3
168,18,13,5,9,2,13.4186,77.1326,5,6,12,1,1,834,916,3
169,13,2,2,3,2,12.4474,76.8642,10,2,12,0,0,818,904,3
170,4,11,1,6,2,13.3208,77.5113,6,3,2,0,0,767,913,3
171,8,3,4,10,2,14.4112,75.8732,0,3,10,0,1,778,778,3
172,10,15,3,8,2,15.3005,75.0912,7,0,8,0,0,826,826,3
173,14,12,1,7,1,12.8365,74.7809,10,6,1,1,0,778,778,2
174,8,3,5,11,2,14.4401,75.9093,1,2,4,0,1,778,778,3
175,2,5,5,1,1,15.0747,76.9222,20,3,3,0,0,763,934,2
176,17,6,1,5,1,13.8991,75.5158,7,5,10,1,0,869,951,2
177,1,19,2,2,2,16.1705,75.6542,15,5,6,1,0,716,716,3
178,16,4,3,4,2,12.6879,77.2752,12,1,4,0,0,782,872,3
179,6,18,3,4,1,17.9591,77.5614,8,4,6,0,0,840,922,2
180,1,19,2,2,2,16.1239,75.6899,12,0,7,0,0,716,716,3
181,17,6,2,2,2,13.8689,75.5317,17,3,9,0,0,869,951,3
182,19,7,5,9,1,13.384,74.7459,14,4,3,0,0,887,963,2
183,14,12,1,6,2,12.849,74.8451,21,2,4,0,0,778,778,3
184,3,8,5,11,2,15.9262,74.547,14,6,5,1,0,790,972,3
185,16,4,1,6,2,12.6464,77.2577,7,0,2,0,0,782,872,3
186,10,15,1,6,1,15.2951,75.0533,1,5,12,1,1,826,826,3
187,17,6,5,1,1,13.876,75.6233,12,5,4,1,0,869,951,2
188,10,15,3,4,2,15.3026,75.1575,3,5,3,1,1,826,826,3
189,3,8,3,8,2,15.8566,74.5603,6,1,6,0,0,790,972,3
190,11,17,2,12,1,17.4009,76.9039,5,6,6,1,1,717,873,2
191,15,1,1,5,1,12.2665,76.5816,16,3,5,0,0,786,908,2
192,4,11,2,2,1,13.2121,77.5738,22,5,11,1,1,767,913,2
193,7,20,5,9,2,13.3555,75.8044,23,4,1,0,1,704,879,3
194,8,3,2,2,2,14.5081,75.8429,5,3,10,0,1,778,778,3
195,4,11,3,4,1,13.2214,77.506,18,4,2,0,0,767,913,2
196,2,5,4,10,2,15.1326,76.9826,2,0,2,0,1,763,934,3
197,2,5,5,1,1,15.0914,76.9138,20,3,3,0,0,763,934,2
198,16,4,3,8,2,12.6958,77.2756,18,0,6,0,0,782,872,3
199,17,6,3,4,2,13.9653,75.5903,22,2,6,0,1,869,951,3
200,20,9,2,12,1,16.8321,75.7733,19,5,8,1,0,816,897,2
201,2,5,5,9,2,15.1704,76.8479,2,6,11,1,1,763,934,3
202,6,18,1,6,1,17.8915,77.4769,3,4,10,0,1,840,922,3
203,9,10,2,2,2,13.0067,76.1335,14,6,5,1,0,838,926,3
204,12,14,4,10,1,13.1803,78.1197,2,6,12,1,1,835,908,3
205,17,6,1,5,1,13.9524,75.4921,23,4,7,0,1,869,951,3
206,18,13,2,12,1,13.2957,77.0809,0,0,11,0,1,834,916,3
207,3,8,1,7,2,15.9277,74.4613,3,6,5,1,1,790,972,3
208,9,10,2,12,2,13.0828,76.1769,16,0,5,0,0,838,926,3
209,1,19,5,9,1,16.1912,75.7532,10,6,10,1,0,716,716,2
210,19,7,1,6,2,13.3038,74.7021,13,2,12,0,0,887,963,3
211,13,2,4,10,1,12.4437,76.8628,8,1,1,0,0,818,904,2
212,12,14,2,2,2,13.1045,78.0922,3,4,4,0,1,835,908,3
213,10,15,3,8,2,15.3375,75.0441,6,5,4,1,0,826,826,3
214,9,10,1,7,1,13.0432,76.1531,15,5,12,1,0,838,926,2
215,6,18,2,2,1,17.8849,77.5107,16,0,4,0,0,840,922,2
216,8,3,3,4,1,14.4016,75.9751,0,2,5,0,1,778,778,3
217,3,8,2,3,1,15.8815,74.4764,8,5,10,1,0,790,972,2
218,12,14,1,7,1,13.1194,78.078,18,1,3,0,0,835,908,2
219,15,1,2,3,1,12.2551,76.6455,22,3,9,0,1,786,908,3
220,20,9,1,6,2,16.9077,75.6958,17,5,7,1,0,816,897,3
221,15,1,1,5,2,12.3589,76.6971,20,6,12,1,0,786,908,3
222,2,5,1,6,1,15.1998,76.9963,11,4,1,0,0,763,934,2
223,20,9,5,9,2,16.8335,75.7157,2,5,10,1,1,816,897,3
224,11,17,1,6,2,17.3842,76.9083,2,2,2,0,1,717,873,3
225,14,12,4,10,2,12.8472,74.7769,12,4,3,0,0,778,778,3
226,12,14,2,12,1,13.2125,78.208,12,1,12,0,0,835,908,2
227,17,6,1,7,2,13.9637,75.5791,13,1,9,0,0,869,951,3
228,4,11,2,3,2,13.3599,77.6001,20,1,6,0,0,767,913,3
229,3,8,2,3,1,15.8981,74.4262,15,5,4,1,0,790,972,2
230,14,12,1,6,1,12.8933,74.9289,6,0,3,0,0,778,778,2
231,10,15,5,9,1,15.3474,75.0838,14,3,4,0,0,826,826,2
232,10,15,1,5,2,15.4384,75.146,7,6,8,1,0,826,826,3
233,16,4,1,7,1,12.6918,77.2866,14,0,3,0,0,782,872,2
234,14,12,2,3,1,12.9273,74.8877,7,6,11,1,0,778,778,2
235,6,18,3,4,2,17.8713,77.5487,5,3,4,0,1,840,922,3
236,5,16,2,2,2,12.9084,77.546,20,2,12,0,0,761,925,3
237,10,15,1,7,1,15.3729,75.1609,10,1,1,0,0,826,826,2
238,1,19,1,6,2,16.2418,75.6841,6,4,5,0,0,716,716,3
239,6,18,1,6,2,17.9373,77.5078,14,6,1,1,0,840,922,3
240,14,12,5,9,1,12.9188,74.835,2,1,3,0,1,778,778,3
241,1,19,3,4,1,16.1962,75.6946,2,4,4,0,1,716,716,2
242,1,19,3,8,1,16.1921,75.7651,9,5,1,1,0,716,716,2
243,9,10,1,6,1,13.0561,76.0639,10,2,8,0,0,838,926,2
244,14,12,1,7,2,12.9073,74.8005,22,5,12,1,1,778,778,3
245,6,18,1,5,2,17.9697,77.5448,8,5,9,1,0,840,922,3
246,11,17,5,11,2,17.3341,76.8483,22,6,9,1,1,717,873,3
247,13,2,2,2,1,12.5771,76.8521,8,6,2,1,0,818,904,2
248,8,3,3,4,1,14.4007,75.878,17,2,6,0,0,778,778,2
249,16,4,5,11,1,12.7123,77.2221,2,2,5,0,1,782,872,3
250,6,18,3,4,1,17.8553,77.5526,21,4,5,0,0,840,922,2
251,6,18,1,5,2,17.8676,77.5536,20,0,9,0,0,840,922,3
252,9,10,1,5,2,13.034,76.1321,18,0,9,0,0,838,926,3
253,3,8,2,2,1,15.9272,74.5334,0,0,10,0,1,790,972,3
254,15,1,2,3,2,12.311,76.5933,0,3,10,0,1,786,908,3
255,11,17,1,7,2,17.4017,76.7977,3,6,4,1,1,717,873,3
256,2,5,1,7,1,15.1764,76.9585,10,0,8,0,0,763,934,2
257,13,2,5,1,1,12.6003,76.9387,9,1,3,0,0,818,904,2
258,19,7,2,2,2,13.2995,74.7292,6,2,7,0,0,887,963,3
259,15,1,4,10,2,12.3646,76.5608,18,5,1,1,0,786,908,3
260,19,7,1,6,2,13.39,74.6665,19,5,6,1,0,887,963,3
261,9,10,1,5,1,12.9827,76.0925,1,0,7,0,1,838,926,3
262,15,1,5,9,1,12.3018,76.6098,13,0,2,0,0,786,908,2
263,6,18,4,10,1,17.8912,77.4975,4,5,6,1,1,840,922,3
264,11,17,1,6,2,17.3736,76.8691,7,6,11,1,0,717,873,3
265,5,16,1,5,2,12.8965,77.5389,22,6,4,1,1,761,925,3
266,6,18,1,7,1,17.9839,77.4678,14,5,8,1,0,840,922,2
267,18,13,2,2,1,13.2874,77.1688,4,0,7,0,1,834,916,3
268,4,11,2,12,2,13.3187,77.5997,23,6,9,1,1,767,913,3
269,1,19,2,2,1,16.1471,75.7539,14,3,2,0,0,716,716,2
270,12,14,5,9,1,13.1567,78.0521,14,0,8,0,0,835,908,2
271,11,17,2,12,2,17.4069,76.9051,17,5,2,1,0,717,873,3
272,2,5,2,2,1,15.1703,76.861,11,6,6,1,0,763,934,2
273,13,2,1,5,2,12.5157,76.9728,16,3,7,0,0,818,904,3
274,4,11,4,10,1,13.2242,77.5793,0,0,2,0,1,767,913,2
275,16,4,4,10,2,12.7727,77.2226,22,6,5,1,1,782,872,3
276,5,16,1,7,1,12.9348,77.6083,10,3,4,0,0,761,925,2
277,13,2,5,11,2,12.5248,76.8488,8,4,4,0,0,818,904,3
278,19,7,5,1,1,13.2816,74.7823,0,2,5,0,1,887,963,3
279,11,17,2,3,2,17.321,76.9023,3,4,2,0,1,717,873,3
280,14,12,1,5,1,12.9921,74.837,22,1,12,0,1,778,778,3
281,9,10,1,7,2,13.0672,76.1785,8,6,6,1,0,838,926,3
282,6,18,2,2,2,17.9146,77.4524,0,2,3,0,1,840,922,3
283,14,12,2,12,2,12.9017,74.8905,23,3,7,0,1,778,778,3
284,10,15,4,10,1,15.3897,75.2002,21,2,10,0,0,826,826,2
285,17,6,5,11,1,13.8713,75.548,1,1,12,0,1,869,951,3
286,3,8,1,5,2,15.8862,74.5083,21,2,8,0,0,790,972,3
287,7,20,5,1,1,13.3322,75.6989,0,6,12,1,1,704,879,2
288,14,12,1,5,2,12.8895,74.932,3,4,2,0,1,778,778,3
289,11,17,3,8,2,17.2771,76.8558,23,5,5,1,1,717,873,3
290,6,18,1,6,2,17.906,77.5415,3,4,1,0,1,840,922,3
291,10,15,3,8,1,15.313,75.0933,19,2,8,0,0,826,826,2
292,1,19,2,2,2,16.2263,75.6391,18,2,3,0,0,716,716,3
293,9,10,2,12,2,13.0448,76.1476,21,5,6,1,0,838,926,3
294,7,20,1,7,2,13.3681,75.774,23,3,2,0,1,704,879,3
295,18,13,5,1,1,13.3013,77.1525,23,5,7,1,1,834,916,3
296,19,7,1,5,2,13.3117,74.7343,10,3,6,0,0,887,963,3
297,7,20,1,7,1,13.292,75.7008,12,3,10,0,0,704,879,2
298,13,2,1,6,2,12.5148,76.8423,16,3,4,0,0,818,904,3
299,5,16,3,4,1,12.9626,77.6476,0,3,11,0,1,761,925,2
300,6,18,2,2,1,17.9713,77.5947,18,3,8,0,0,840,922,2
301,3,8,2,3,2,15.8309,74.5158,8,0,4,0,0,790,972,3
302,1,19,2,3,2,16.2261,75.7393,20,4,12,0,0,716,716,3
303,9,10,3,4,2,12.9687,76.173,23,0,3,0,1,838,926,3
304,9,10,5,1,1,12.9315,76.1415,2,0,2,0,1,838,926,3
305,12,14,5,9,2,13.0884,78.0662,12,2,11,0,0,835,908,3
306,7,20,1,6,2,13.2973,75.7656,7,4,11,0,0,704,879,3
307,13,2,5,1,2,12.4902,76.8864,15,1,5,0,0,818,904,3
308,12,14,5,1,1,13.0681,78.077,7,0,9,0,0,835,908,2
309,16,4,4,10,2,12.7814,77.2424,9,6,10,1,0,782,872,3
310,17,6,5,1,1,13.9487,75.6168,2,1,8,0,1,869,951,3
311,14,12,5,1,2,12.8789,74.8112,22,5,3,1,1,778,778,3
312,8,3,1,5,1,14.4125,75.9567,11,2,8,0,0,778,778,2
313,12,14,3,4,1,13.0697,78.0681,14,1,11,0,0,835,908,2
314,13,2,5,9,2,12.485,76.8348,20,2,2,0,0,818,904,3
315,4,11,1,5,2,13.2691,77.5786,0,6,7,1,1,767,913,3
316,7,20,3,8,1,13.2427,75.7004,16,1,1,0,0,704,879,2
317,15,1,1,6,2,12.3621,76.5964,19,3,8,0,0,786,908,3
318,18,13,2,2,1,13.3997,77.0545,7,6,3,1,0,834,916,2
319,6,18,5,11,2,17.887,77.532,8,6,6,1,0,840,922,3
320,19,7,5,11,2,13.2861,74.7106,4,4,10,0,1,887,963,3
321,17,6,5,11,2,13.9928,75.5738,15,4,5,0,0,869,951,3
322,13,2,2,3,2,12.5672,76.9266,4,6,8,1,1,818,904,3
323,5,16,2,2,1,12.9395,77.5945,0,6,5,1,1,761,925,2
324,15,1,5,1,1,12.266,76.7038,15,3,4,0,0,786,908,2
325,15,1,2,3,2,12.2657,76.6798,9,6,1,1,0,786,908,3
326,8,3,1,7,2,14.4331,75.8853,15,2,9,0,0,778,778,3
327,20,9,1,7,2,16.7847,75.7046,8,1,11,0,0,816,897,3
328,18,13,5,9,2,13.2995,77.0545,4,1,1,0,1,834,916,3
329,20,9,5,9,2,16.9087,75.7502,7,4,4,0,0,816,897,3
330,20,9,1,6,2,16.8331,75.6395,16,6,4,1,0,816,897,3
331,5,16,3,8,2,13.0002,77.5277,20,0,11,0,0,761,925,3
332,15,1,4,10,1,12.3647,76.5909,11,6,3,1,0,786,908,2
333,11,17,3,8,2,17.3527,76.7659,20,0,2,0,0,717,873,3
334,2,5,2,3,1,15.075,76.9844,19,3,11,0,0,763,934,2
335,13,2,5,11,1,12.5592,76.8468,14,4,10,0,0,818,904,2
336,19,7,3,4,2,13.261,74.7511,16,3,2,0,0,887,963,3
337,12,14,2,3,1,13.2143,78.1453,1,4,3,0,1,835,908,3
338,4,11,2,12,1,13.2999,77.5467,7,4,2,0,0,767,913,2
339,20,9,2,3,1,16.7903,75.6459,22,6,3,1,1,816,897,3
340,19,7,2,2,1,13.3279,74.6978,19,4,6,0,0,887,963,2
341,6,18,2,3,2,17.9007,77.4942,6,2,4,0,0,840,922,3
342,5,16,5,9,1,13.0174,77.6113,6,0,5,0,0,761,925,2
343,6,18,4,10,1,17.9623,77.5116,23,6,1,1,1,840,922,3
344,10,15,1,5,1,15.3769,75.0678,20,3,7,0,0,826,826,2
345,20,9,3,4,1,16.7586,75.6704,10,5,2,1,0,816,897,2
346,1,19,5,9,2,16.115,75.7331,7,4,5,0,0,716,716,3
347,19,7,2,3,2,13.2692,74.7163,7,2,1,0,0,887,963,3
348,7,20,1,6,2,13.3747,75.7594,17,3,7,0,0,704,879,3
349,14,12,2,12,2,12.9452,74.8774,17,3,9,0,0,778,778,3
350,6,18,2,12,2,17.8329,77.4918,22,4,11,0,1,840,922,3
351,14,12,2,12,1,12.9771,74.9278,0,0,12,0,1,778,778,3
352,3,8,1,6,2,15.8918,74.4284,13,6,3,1,0,790,972,3
353,7,20,3,8,1,13.3617,75.8503,22,5,8,1,1,704,879,2
354,12,14,3,4,2,13.2039,78.1714,1,1,5,0,1,835,908,3
355,16,4,1,5,1,12.7653,77.3567,0,4,7,0,1,782,872,3
356,11,17,5,9,1,17.3812,76.7659,7,1,8,0,0,717,873,2
357,19,7,3,8,2,13.2844,74.7659,11,1,5,0,0,887,963,3
358,17,6,5,9,1,13.8627,75.6018,12,4,2,0,0,869,951,2
359,17,6,2,3,1,13.9314,75.5223,16,6,10,1,0,869,951,2
360,6,18,3,8,1,17.9801,77.5374,4,6,7,1,1,840,922,3
361,4,11,5,11,1,13.2961,77.5328,8,4,8,0,0,767,913,2
362,13,2,5,11,1,12.4819,76.9232,15,1,11,0,0,818,904,2
363,6,18,1,7,2,17.9795,77.4933,14,1,4,0,0,840,922,3
