grid_lat,grid_lon,district_id,police_station_id,prior_7d_crime_count,prior_30d_crime_count,prior_90d_crime_count,prior_180d_crime_count,spatial_density_ratio,peak_hour_window_id,is_future_hotspot
12.700000000000001,77.30000000000001,16,4,0,1,2,7,2.5,0,0
12.700000000000001,77.35000000000001,16,4,0,3,6,10,7.5,1,1
12.75,77.2,16,4,0,0,1,2,0.0,0,0
12.75,77.25,16,4,0,0,5,11,0.0,0,0
12.75,77.30000000000001,16,4,0,2,5,11,5.0,0,1
12.75,77.35000000000001,16,4,0,1,1,4,2.5,1,0
12.850000000000001,74.8,14,12,0,1,5,9,2.692,1,0
12.850000000000001,74.85000000000001,14,12,0,1,6,14,2.692,0,0
12.850000000000001,74.9,14,12,1,1,2,4,2.692,0,0
12.850000000000001,74.95,14,12,0,0,2,3,0.0,3,0
12.8,77.2,16,4,0,0,2,3,0.0,0,0
12.8,77.25,16,4,0,1,4,4,2.5,2,0
12.8,77.30000000000001,16,4,0,0,0,2,0.0,3,0
12.8,77.35000000000001,16,4,0,2,2,5,5.0,0,0
12.950000000000001,74.8,14,12,0,0,1,5,0.0,0,1
12.950000000000001,74.85000000000001,14,12,0,2,9,18,5.385,0,0
12.950000000000001,74.9,14,12,0,1,4,9,2.692,0,0
12.950000000000001,74.95,14,12,0,0,0,1,0.0,2,0
12.950000000000001,76.0,9,10,0,0,1,2,0.0,2,0
12.950000000000001,76.05,9,10,0,1,4,9,2.5,1,1
12.950000000000001,76.10000000000001,9,10,0,2,3,7,5.0,0,0
12.950000000000001,76.15,9,10,0,1,7,10,2.5,2,0
12.950000000000001,76.2,9,10,0,0,2,2,0.0,2,0
12.950000000000001,77.5,5,16,0,0,0,2,0.0,0,0
12.950000000000001,77.55000000000001,5,16,0,0,2,7,0.0,2,1
12.950000000000001,77.60000000000001,5,16,1,1,3,10,3.889,0,1
12.950000000000001,77.65,5,16,2,2,5,6,7.778,0,0
12.9,74.8,14,12,1,2,7,10,5.385,2,1
12.9,74.85000000000001,14,12,0,2,2,5,5.385,0,1
12.9,74.9,14,12,2,3,7,15,8.077,0,0
12.9,74.95,14,12,0,0,2,3,0.0,0,0
12.9,76.05,9,10,0,0,0,1,0.0,1,0
12.9,76.10000000000001,9,10,0,0,1,1,0.0,2,0
12.9,76.15,9,10,0,0,1,1,0.0,1,0
12.9,77.5,5,16,0,0,1,1,0.0,1,0
12.9,77.55000000000001,5,16,0,0,3,6,0.0,0,0
12.9,77.60000000000001,5,16,1,1,3,7,3.889,2,1
12.9,77.65,5,16,1,1,2,6,3.889,2,0
13.05,76.0,9,10,0,0,0,1,0.0,1,0
13.05,76.05,9,10,0,1,4,8,2.5,1,0
13.05,76.10000000000001,9,10,0,1,5,10,2.5,1,0
13.05,76.15,9,10,0,1,2,8,2.5,0,0
13.05,76.2,9,10,0,0,0,1,0.0,0,0
13.05,77.5,5,16,0,0,0,0,0.0,1,0
13.05,77.55000000000001,5,16,0,1,3,4,3.889,1,0
13.05,77.60000000000001,5,16,0,0,1,3,0.0,0,0
13.05,77.65,5,16,0,1,4,7,3.889,0,1
13.05,78.05000000000001,12,14,0,0,1,3,0.0,1,0
13.05,78.10000000000001,12,14,0,0,4,5,0.0,1,0
13.05,78.15,12,14,1,2,5,7,3.182,0,1
13.05,78.2,12,14,0,1,1,2,1.591,1,0
13.0,74.8,14,12,0,0,1,5,0.0,2,0
13.0,74.85000000000001,14,12,0,0,5,5,0.0,0,0
13.0,74.9,14,12,0,0,1,2,0.0,0,0
13.0,74.95,14,12,0,0,0,1,0.0,0,0
13.0,76.0,9,10,0,1,2,2,2.5,0,0
13.0,76.05,9,10,0,2,6,8,5.0,0,0
13.0,76.10000000000001,9,10,0,0,1,5,0.0,0,0
13.0,76.15,9,10,2,4,7,10,10.0,1,1
13.0,76.2,9,10,0,0,1,1,0.0,0,0
13.0,77.5,5,16,0,0,0,1,0.0,2,0
13.0,77.55000000000001,5,16,0,1,3,9,3.889,0,1
13.0,77.60000000000001,5,16,0,1,3,8,3.889,0,1
13.0,77.65,5,16,0,0,2,4,0.0,0,1
13.100000000000001,76.05,9,10,0,0,1,3,0.0,1,0
13.100000000000001,76.10000000000001,9,10,0,0,0,0,0.0,0,0
13.100000000000001,76.15,9,10,0,0,1,2,0.0,0,0
13.100000000000001,76.2,9,10,0,0,0,0,0.0,2,0
13.100000000000001,78.05000000000001,12,14,0,1,3,7,1.591,2,0
13.100000000000001,78.10000000000001,12,14,0,2,3,10,3.182,1,0
13.100000000000001,78.15,12,14,0,3,7,11,4.773,1,1
13.100000000000001,78.2,12,14,1,2,5,9,3.182,0,0
13.15,78.05000000000001,12,14,0,1,2,3,1.591,1,0
13.15,78.10000000000001,12,14,0,1,6,12,1.591,0,1
13.15,78.15,12,14,1,1,4,9,1.591,0,0
13.15,78.2,12,14,1,2,5,9,3.182,0,0
13.200000000000001,77.5,4,11,0,0,4,6,0.0,0,0
13.200000000000001,77.55000000000001,4,11,0,2,4,6,6.364,0,0
13.200000000000001,77.60000000000001,4,11,0,1,2,2,3.182,0,0
13.200000000000001,77.65,4,11,0,0,0,0,0.0,0,0
13.200000000000001,78.05000000000001,12,14,0,0,1,2,0.0,0,0
13.200000000000001,78.10000000000001,12,14,1,2,4,9,3.182,1,1
13.200000000000001,78.15,12,14,1,2,3,4,3.182,0,0
13.200000000000001,78.2,12,14,0,2,6,8,3.182,0,0
13.25,74.65,19,7,0,1,1,1,1.944,0,0
13.25,74.7,19,7,0,0,0,3,0.0,3,0
13.25,74.75,19,7,0,1,4,5,1.944,2,1
13.25,74.8,19,7,0,0,2,5,0.0,2,0
13.25,75.7,7,20,0,0,2,2,0.0,0,0
13.25,75.75,7,20,1,1,3,4,3.889,1,0
13.25,75.8,7,20,1,2,4,7,7.778,0,1
13.25,75.85000000000001,7,20,0,0,2,3,0.0,0,0
13.25,77.0,18,13,0,0,0,0,0.0,0,0
13.25,77.05000000000001,18,13,0,0,2,4,0.0,2,0
13.25,77.10000000000001,18,13,1,1,1,3,1.591,1,0
13.25,77.15,18,13,0,1,2,4,1.591,0,0
13.25,77.2,18,13,0,0,0,1,0.0,1,0
13.25,77.45,4,11,0,0,0,0,0.0,3,0
13.25,77.5,4,11,0,0,3,6,0.0,1,1
13.25,77.55000000000001,4,11,0,0,4,9,0.0,0,0
13.25,77.60000000000001,4,11,0,1,5,11,3.182,0,1
13.25,77.65,4,11,0,0,0,1,0.0,0,0
13.350000000000001,74.65,19,7,0,0,0,5,0.0,2,0
13.350000000000001,74.7,19,7,0,3,6,9,5.833,1,0
13.350000000000001,74.75,19,7,1,4,9,14,7.778,0,1
13.350000000000001,74.8,19,7,0,0,1,5,0.0,1,0
13.350000000000001,75.7,7,20,0,0,0,3,0.0,0,0
13.350000000000001,75.75,7,20,0,1,5,10,3.889,0,0
13.350000000000001,75.8,7,20,0,0,5,10,0.0,2,1
13.350000000000001,75.85000000000001,7,20,1,1,3,4,3.889,0,0
13.350000000000001,77.0,18,13,0,0,0,1,0.0,0,0
13.350000000000001,77.05000000000001,18,13,0,1,7,11,1.591,0,0
13.350000000000001,77.10000000000001,18,13,0,2,4,8,3.182,0,1
13.350000000000001,77.15,18,13,0,1,5,14,1.591,2,1
13.350000000000001,77.2,18,13,0,2,3,3,3.182,0,0
13.350000000000001,77.45,4,11,0,0,0,1,0.0,2,0
13.350000000000001,77.5,4,11,1,1,4,6,3.182,2,0
13.350000000000001,77.55000000000001,4,11,0,1,4,9,3.182,0,1
13.350000000000001,77.60000000000001,4,11,0,1,7,9,3.182,0,1
13.350000000000001,77.65,4,11,0,0,0,2,0.0,0,0
13.3,74.65,19,7,0,0,0,1,0.0,3,0
13.3,74.7,19,7,0,1,2,8,1.944,0,1
13.3,74.75,19,7,2,3,8,10,5.833,0,1
13.3,74.8,19,7,0,1,4,9,1.944,1,0
13.3,75.7,7,20,0,2,4,4,7.778,3,0
13.3,75.75,7,20,0,0,2,9,0.0,0,1
13.3,75.8,7,20,0,1,4,7,3.889,1,0
13.3,75.85000000000001,7,20,0,1,3,7,3.889,1,0
13.3,77.0,18,13,0,0,0,0,0.0,0,0
13.3,77.05000000000001,18,13,2,3,6,15,4.773,2,1
13.3,77.10000000000001,18,13,0,2,8,14,3.182,0,0
13.3,77.15,18,13,0,3,10,12,4.773,0,1
13.3,77.2,18,13,0,1,2,2,1.591,0,0
13.3,77.45,4,11,0,0,0,0,0.0,3,0
13.3,77.5,4,11,1,1,2,5,3.182,0,1
13.3,77.55000000000001,4,11,1,3,8,14,9.545,0,1
13.3,77.60000000000001,4,11,0,0,4,7,0.0,0,1
13.3,77.65,4,11,0,0,0,1,0.0,2,0
13.4,74.65,19,7,0,0,1,1,0.0,2,0
13.4,74.7,19,7,0,1,1,6,1.944,0,1
13.4,74.75,19,7,0,1,3,11,1.944,0,1
13.4,74.8,19,7,0,2,4,9,3.889,1,1
13.4,75.7,7,20,0,0,0,0,0.0,0,0
13.4,75.75,7,20,0,0,0,2,0.0,2,0
13.4,75.8,7,20,0,0,2,4,0.0,0,0
13.4,75.85000000000001,7,20,0,0,0,2,0.0,0,0
13.4,77.0,18,13,0,0,0,0,0.0,0,0
13.4,77.05000000000001,18,13,0,1,6,7,1.591,0,0
13.4,77.10000000000001,18,13,0,1,3,6,1.591,0,0
13.4,77.15,18,13,0,3,4,9,4.773,0,0
13.4,77.2,18,13,0,0,1,1,0.0,2,0
13.850000000000001,75.5,17,6,0,2,4,4,5.833,0,1
13.850000000000001,75.55,17,6,0,1,3,4,2.917,0,0
13.850000000000001,75.60000000000001,17,6,0,1,3,4,2.917,0,0
13.850000000000001,75.65,17,6,0,0,0,1,0.0,0,0
13.950000000000001,75.5,17,6,0,0,3,6,0.0,2,0
13.950000000000001,75.55,17,6,0,1,4,7,2.917,0,0
13.950000000000001,75.60000000000001,17,6,0,1,5,10,2.917,2,1
13.950000000000001,75.65,17,6,0,0,2,6,0.0,0,0
13.9,75.5,17,6,0,0,4,7,0.0,0,0
13.9,75.55,17,6,0,2,3,8,5.833,0,0
13.9,75.60000000000001,17,6,0,1,4,6,2.917,0,0
13.9,75.65,17,6,0,0,3,4,0.0,2,0
14.0,75.5,17,6,0,2,4,6,5.833,0,0
14.0,75.55,17,6,0,1,4,6,2.917,0,0
14.0,75.60000000000001,17,6,0,0,2,4,0.0,0,1
14.0,75.65,17,6,0,0,0,1,0.0,0,0
14.450000000000001,75.85000000000001,8,3,0,0,3,4,0.0,0,0
14.450000000000001,75.9,8,3,1,1,2,9,4.375,0,0
14.450000000000001,75.95,8,3,0,1,7,12,4.375,0,0
14.450000000000001,76.0,8,3,0,0,1,3,0.0,0,1
14.4,75.85000000000001,8,3,0,0,2,4,0.0,0,0
14.4,75.9,8,3,0,0,2,5,0.0,0,1
14.4,75.95,8,3,0,0,2,9,0.0,0,1
14.4,76.0,8,3,0,0,1,2,0.0,3,0
14.55,75.85000000000001,8,3,0,0,1,3,0.0,0,0
14.55,75.9,8,3,0,0,1,2,0.0,2,0
14.55,75.95,8,3,1,1,2,5,4.375,0,0
14.55,76.0,8,3,0,1,1,1,4.375,0,0
14.5,75.85000000000001,8,3,0,0,5,8,0.0,1,0
14.5,75.9,8,3,1,1,6,8,4.375,0,0
14.5,75.95,8,3,0,2,3,5,8.75,0,0
14.5,76.0,8,3,0,1,1,3,4.375,0,0
15.05,76.85000000000001,2,5,0,0,1,1,0.0,0,0
15.05,76.9,2,5,0,0,1,5,0.0,0,0
15.05,76.95,2,5,0,0,2,3,0.0,0,0
15.05,77.0,2,5,0,0,0,1,0.0,1,0
15.100000000000001,76.85000000000001,2,5,0,0,3,7,0.0,0,0
15.100000000000001,76.9,2,5,0,2,6,14,8.75,0,1
15.100000000000001,76.95,2,5,0,0,5,8,0.0,0,0
15.100000000000001,77.0,2,5,0,0,2,6,0.0,1,0
15.15,76.85000000000001,2,5,0,1,3,8,4.375,2,0
15.15,76.9,2,5,0,1,8,16,4.375,1,0
15.15,76.95,2,5,0,0,1,10,0.0,0,1
15.15,77.0,2,5,1,1,3,8,4.375,0,1
15.200000000000001,76.85000000000001,2,5,0,1,2,4,4.375,0,1
15.200000000000001,76.9,2,5,0,0,2,5,0.0,0,0
15.200000000000001,76.95,2,5,0,1,2,9,4.375,0,1
15.200000000000001,77.0,2,5,0,1,2,5,4.375,1,0
15.350000000000001,75.05,10,15,1,1,2,3,2.333,2,0
15.350000000000001,75.10000000000001,10,15,0,2,4,6,4.667,1,1
15.350000000000001,75.15,10,15,2,3,10,16,7.0,1,0
15.350000000000001,75.2,10,15,0,1,4,8,2.333,2,0
15.3,75.05,10,15,0,0,3,7,0.0,2,0
15.3,75.10000000000001,10,15,0,1,4,7,2.333,0,0
15.3,75.15,10,15,0,0,0,6,0.0,0,0
15.3,75.2,10,15,0,0,0,0,0.0,0,0
15.450000000000001,75.05,10,15,0,0,0,1,0.0,0,0
15.450000000000001,75.10000000000001,10,15,0,0,0,0,0.0,3,0
15.450000000000001,75.15,10,15,0,0,1,2,0.0,1,1
15.450000000000001,75.2,10,15,0,0,0,2,0.0,2,0
15.4,75.05,10,15,1,3,4,5,7.0,0,0
15.4,75.10000000000001,10,15,0,1,4,9,2.333,1,1
15.4,75.15,10,15,0,0,3,5,0.0,0,1
15.4,75.2,10,15,0,3,4,5,7.0,2,0
15.75,74.4,3,8,0,0,1,1,0.0,0,0
15.75,74.45,3,8,1,1,2,3,2.5,2,0
15.75,74.5,3,8,0,0,0,0,0.0,0,0
15.75,74.55,3,8,0,0,1,2,0.0,1,0
15.75,74.60000000000001,3,8,0,0,0,0,0.0,2,0
15.850000000000001,74.4,3,8,0,0,0,1,0.0,2,0
15.850000000000001,74.45,3,8,1,2,5,10,5.0,0,1
15.850000000000001,74.5,3,8,0,2,7,10,5.0,1,1
15.850000000000001,74.55,3,8,0,1,7,10,2.5,0,1
15.850000000000001,74.60000000000001,3,8,0,0,0,0,0.0,0,0
15.8,74.4,3,8,0,0,0,2,0.0,3,0
15.8,74.45,3,8,0,0,7,14,0.0,0,0
15.8,74.5,3,8,0,2,5,8,5.0,0,1
15.8,74.55,3,8,0,3,5,8,7.5,0,1
15.8,74.60000000000001,3,8,0,0,0,0,0.0,0,0
15.950000000000001,74.4,3,8,0,0,0,0,0.0,1,0
15.950000000000001,74.45,3,8,0,0,0,0,0.0,0,0
15.950000000000001,74.5,3,8,0,0,1,2,0.0,1,0
15.950000000000001,74.55,3,8,0,0,0,1,0.0,1,0
15.9,74.4,3,8,0,0,0,1,0.0,1,0
15.9,74.45,3,8,0,2,5,12,5.0,0,1
15.9,74.5,3,8,0,0,6,14,0.0,2,1
15.9,74.55,3,8,0,0,1,5,0.0,0,1
15.9,74.60000000000001,3,8,0,1,1,1,2.5,3,0
16.150000000000002,75.60000000000001,1,19,0,0,0,3,0.0,0,1
16.150000000000002,75.65,1,19,1,2,5,7,5.385,0,1
16.150000000000002,75.7,1,19,0,1,4,7,2.692,0,1
16.150000000000002,75.75,1,19,1,4,6,11,10.769,0,1
16.150000000000002,75.8,1,19,0,0,1,1,0.0,0,0
16.1,75.60000000000001,1,19,0,0,0,1,0.0,0,0
16.1,75.65,1,19,0,1,2,3,2.692,0,0
16.1,75.7,1,19,0,0,0,1,0.0,1,0
16.1,75.75,1,19,0,0,1,4,0.0,1,0
16.1,75.8,1,19,0,0,1,1,0.0,2,0
16.25,75.60000000000001,1,19,0,0,0,0,0.0,0,0
16.25,75.65,1,19,0,0,2,2,0.0,3,0
16.25,75.7,1,19,0,0,3,10,0.0,0,0
16.25,75.75,1,19,0,1,4,9,2.692,0,1
16.25,75.8,1,19,0,0,0,0,0.0,1,0
16.2,75.60000000000001,1,19,0,0,0,1,0.0,0,0
16.2,75.65,1,19,0,2,7,13,5.385,0,0
16.2,75.7,1,19,0,2,8,12,5.385,1,1
16.2,75.75,1,19,0,0,2,10,0.0,0,0
16.2,75.8,1,19,0,0,0,0,0.0,2,0
16.75,75.65,20,9,0,0,1,4,0.0,1,0
16.75,75.7,20,9,0,0,1,1,0.0,0,0
16.75,75.75,20,9,0,1,3,5,2.059,0,0
16.75,75.8,20,9,0,0,0,1,0.0,2,0
16.85,75.65,20,9,0,1,5,11,2.059,1,0
16.85,75.7,20,9,1,1,6,11,2.059,0,0
16.85,75.75,20,9,0,0,2,8,0.0,1,0
16.85,75.8,20,9,0,0,1,1,0.0,1,0
16.8,75.65,20,9,1,4,5,12,8.235,0,0
16.8,75.7,20,9,0,2,3,10,4.118,2,0
16.8,75.75,20,9,0,1,6,11,2.059,0,1
16.8,75.8,20,9,0,1,1,3,2.059,0,0
16.900000000000002,75.65,20,9,0,1,3,7,2.059,0,0
16.900000000000002,75.7,20,9,2,2,3,7,4.118,0,1
16.900000000000002,75.75,20,9,0,1,7,10,2.059,0,0
16.900000000000002,75.8,20,9,0,2,2,3,4.118,2,0
17.25,76.75,11,17,0,0,0,1,0.0,0,0
17.25,76.80000000000001,11,17,0,1,2,4,1.842,0,1
17.25,76.85000000000001,11,17,1,1,1,2,1.842,0,1
17.25,76.9,11,17,0,2,2,2,3.684,0,0
17.35,76.75,11,17,0,1,4,6,1.842,2,1
17.35,76.80000000000001,11,17,0,2,4,5,3.684,0,1
17.35,76.85000000000001,11,17,0,1,3,9,1.842,0,0
17.35,76.9,11,17,0,1,5,8,1.842,0,1
17.3,76.75,11,17,0,0,2,4,0.0,0,0
17.3,76.80000000000001,11,17,0,1,6,8,1.842,0,1
17.3,76.85000000000001,11,17,1,1,2,5,1.842,0,1
17.3,76.9,11,17,1,1,2,3,1.842,0,0
17.400000000000002,76.75,11,17,0,1,1,3,1.842,0,0
17.400000000000002,76.80000000000001,11,17,0,3,8,13,5.526,0,0
17.400000000000002,76.85000000000001,11,17,0,2,3,4,3.684,0,0
17.400000000000002,76.9,11,17,0,1,3,7,1.842,0,1
17.85,77.45,6,18,0,0,2,4,0.0,0,1
17.85,77.5,6,18,0,1,5,8,1.522,0,0
17.85,77.55000000000001,6,18,1,2,3,9,3.043,0,0
17.85,77.60000000000001,6,18,0,2,4,7,3.043,0,0
17.900000000000002,77.45,6,18,1,2,5,8,3.043,0,1
17.900000000000002,77.5,6,18,0,1,4,7,1.522,0,1
17.900000000000002,77.55000000000001,6,18,1,3,7,13,4.565,0,1
17.900000000000002,77.60000000000001,6,18,0,2,2,4,3.043,0,1
17.95,77.45,6,18,0,0,1,7,0.0,2,1
17.95,77.5,6,18,0,4,5,10,6.087,0,0
17.95,77.55000000000001,6,18,0,2,7,9,3.043,1,1
17.95,77.60000000000001,6,18,1,1,3,7,1.522,0,0
18.0,77.45,6,18,0,2,3,4,3.043,0,0
18.0,77.5,6,18,0,0,0,2,0.0,2,0
18.0,77.55000000000001,6,18,0,0,1,3,0.0,0,0
18.0,77.60000000000001,6,18,0,1,2,2,1.522,1,0
