CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
445,ITA,67,1,1
446,PMLA,3,1,1
447,NDPS,20,1,1
448,PMLA,3,1,1
449,PMLA,3,1,1
450,ITA,66C,1,1
451,PMLA,3,1,1
452,ITA,66C,1,1
453,ITA,66C,1,1
454,ITA,67,1,1
455,ITA,66C,1,1
456,ITA,66C,1,1
457,IPC,302,1,1
458,ITA,67,1,1
459,ITA,67,1,1
460,PMLA,3,1,1
461,PMLA,3,1,1
462,ITA,66D,1,1
463,IPC,379,1,1
464,ITA,66C,1,1
465,ITA,66C,1,1
466,ITA,66D,1,1
467,ITA,67,1,1
468,ITA,66D,1,1
469,IPC,302,1,1
470,ITA,66C,1,1
471,ITA,66C,1,1
472,PMLA,3,1,1
473,IPC,379,1,1
474,ITA,66C,1,1
475,ITA,66C,1,1
476,ITA,67,1,1
477,ITA,66C,1,1
478,NDPS,20,1,1
479,IPC,302,1,1
480,ITA,66D,1,1
481,PMLA,3,1,1
482,ITA,66D,1,1
483,ITA,66C,1,1
484,IPC,363,1,1
485,ITA,66C,1,1
486,IPC,379,1,1
487,ITA,66D,1,1
488,ITA,66C,1,1
489,PMLA,3,1,1
490,ITA,66C,1,1
491,PMLA,3,1,1
492,ITA,66C,1,1
493,ITA,66C,1,1
494,ITA,66C,1,1
495,PMLA,3,1,1
496,IPC,302,1,1
497,PMLA,3,1,1
498,IPC,302,1,1
499,ITA,66C,1,1
500,ITA,66C,1,1
501,PMLA,3,1,1
502,ITA,66C,1,1
503,IPC,379,1,1
504,ITA,66D,1,1
505,ITA,66C,1,1
506,ITA,66C,1,1
507,ITA,66C,1,1
508,ITA,66C,1,1
509,ITA,67,1,1
510,ITA,67,1,1
511,ITA,66C,1,1
512,ITA,66D,1,1
513,ITA,66C,1,1
514,ITA,66C,1,1
515,PMLA,3,1,1
516,ITA,66D,1,1
517,ITA,67,1,1
518,PMLA,3,1,1
519,ITA,66D,1,1
520,PMLA,3,1,1
521,ITA,66D,1,1
522,ITA,66C,1,1
523,ITA,67,1,1
524,PMLA,3,1,1
525,ITA,67,1,1
526,PMLA,3,1,1
527,ITA,66C,1,1
528,ITA,66C,1,1
529,ITA,66C,1,1
530,ITA,67,1,1
531,ITA,66C,1,1
532,ITA,66D,1,1
533,ITA,67,1,1
534,ITA,66C,1,1
535,IPC,363,1,1
536,ITA,67,1,1
537,PMLA,3,1,1
538,IPC,379,1,1
539,PMLA,3,1,1
540,ITA,66C,1,1
541,ITA,66C,1,1
542,ITA,66D,1,1
543,IPC,302,1,1
544,ITA,66D,1,1
545,IPC,379,1,1
546,ITA,66C,1,1
547,ITA,67,1,1
548,PMLA,3,1,1
549,PMLA,3,1,1
550,ITA,66C,1,1
551,ITA,66C,1,1
552,ITA,66D,1,1
553,ITA,66C,1,1
554,ITA,66C,1,1
555,ITA,67,1,1
556,ITA,66C,1,1
557,ITA,66D,1,1
558,PMLA,3,1,1
559,PMLA,3,1,1
560,NDPS,20,1,1
561,ITA,67,1,1
562,ITA,66D,1,1
563,NDPS,20,1,1
564,IPC,379,1,1
565,ITA,66C,1,1
566,ITA,67,1,1
567,ITA,67,1,1
568,ITA,67,1,1
569,ITA,66D,1,1
570,ITA,66C,1,1
571,ITA,66D,1,1
572,IPC,302,1,1
573,ITA,66C,1,1
574,ITA,66C,1,1
575,ITA,67,1,1
576,ITA,66C,1,1
577,ITA,66D,1,1
578,ITA,66D,1,1
579,PMLA,3,1,1
580,ITA,66C,1,1
581,PMLA,3,1,1
582,IPC,302,1,1
583,ITA,66C,1,1
584,ITA,66C,1,1
585,ITA,66D,1,1
586,ITA,66C,1,1
587,ITA,67,1,1
588,ITA,66D,1,1
589,ITA,66C,1,1
590,ITA,66C,1,1
591,ITA,67,1,1
592,ITA,66C,1,1
593,ITA,66D,1,1
594,ITA,66C,1,1
595,PMLA,3,1,1
596,ITA,66D,1,1
597,PMLA,3,1,1
598,ITA,66D,1,1
599,ITA,66C,1,1
600,ITA,66C,1,1
601,PMLA,3,1,1
602,ITA,66C,1,1
603,NDPS,20,1,1
604,ITA,67,1,1
605,ITA,66D,1,1
606,ITA,67,1,1
607,ITA,67,1,1
608,ITA,66D,1,1
609,PMLA,3,1,1
610,PMLA,3,1,1
611,PMLA,3,1,1
612,ITA,66D,1,1
613,PMLA,3,1,1
614,PMLA,3,1,1
615,ITA,66C,1,1
616,ITA,66C,1,1
617,IPC,363,1,1
618,ITA,66D,1,1
619,ITA,66D,1,1
620,ITA,66C,1,1
621,ITA,66C,1,1
622,IPC,379,1,1
623,ITA,67,1,1
624,PMLA,3,1,1
625,ITA,66D,1,1
626,ITA,66D,1,1
627,ITA,66D,1,1
628,IPC,379,1,1
629,ITA,67,1,1
630,ITA,66C,1,1
631,PMLA,3,1,1
632,ITA,67,1,1
633,ITA,66D,1,1
634,ITA,66D,1,1
635,ITA,67,1,1
636,ITA,66C,1,1
637,IPC,379,1,1
638,PMLA,3,1,1
639,ITA,66C,1,1
640,ITA,66D,1,1
641,IPC,379,1,1
642,ITA,66D,1,1
643,PMLA,3,1,1
644,NDPS,20,1,1
645,ITA,67,1,1
646,PMLA,3,1,1
647,ITA,66C,1,1
648,ITA,66D,1,1
649,ITA,66C,1,1
650,ITA,66D,1,1
651,ITA,66C,1,1
652,ITA,66C,1,1
653,ITA,66C,1,1
654,ITA,66D,1,1
655,ITA,67,1,1
656,ITA,66C,1,1
657,ITA,66D,1,1
658,ITA,66C,1,1
659,ITA,66C,1,1
660,ITA,66C,1,1
661,ITA,66C,1,1
662,ITA,66C,1,1
663,ITA,66D,1,1
664,ITA,66C,1,1
665,ITA,67,1,1
666,ITA,67,1,1
667,ITA,66C,1,1
668,ITA,67,1,1
669,ITA,66C,1,1
670,ITA,66C,1,1
671,ITA,67,1,1
672,PMLA,3,1,1
673,ITA,66C,1,1
674,PMLA,3,1,1
675,ITA,67,1,1
676,ITA,66C,1,1
677,ITA,66D,1,1
678,ITA,66C,1,1
679,ITA,66C,1,1
680,ITA,66C,1,1
681,ITA,66D,1,1
682,ITA,66C,1,1
683,ITA,66C,1,1
684,ITA,66D,1,1
685,ITA,66D,1,1
686,PMLA,3,1,1
687,PMLA,3,1,1
688,ITA,66C,1,1
689,ITA,66C,1,1
690,ITA,66C,1,1
691,ITA,66C,1,1
692,IPC,302,1,1
693,ITA,66C,1,1
694,ITA,66C,1,1
695,PMLA,3,1,1
696,ITA,67,1,1
697,PMLA,3,1,1
698,NDPS,20,1,1
699,ITA,67,1,1
700,PMLA,3,1,1
701,ITA,66C,1,1
702,IPC,379,1,1
703,ITA,66D,1,1
704,ITA,66C,1,1
705,ITA,66C,1,1
706,IPC,379,1,1
707,ITA,67,1,1
708,IPC,379,1,1
709,PMLA,3,1,1
710,ITA,66C,1,1
711,IPC,379,1,1
712,ITA,66C,1,1
713,ITA,66C,1,1
714,ITA,66C,1,1
715,IPC,363,1,1
716,ITA,66C,1,1
717,ITA,66D,1,1
718,IPC,379,1,1
719,ITA,66C,1,1
720,ITA,66D,1,1
721,ITA,66D,1,1
722,ITA,66C,1,1
723,PMLA,3,1,1
724,ITA,67,1,1
725,ITA,66D,1,1
726,ITA,66C,1,1
727,ITA,66C,1,1
728,PMLA,3,1,1
729,ITA,67,1,1
730,IPC,363,1,1
731,ITA,66D,1,1
732,ITA,66C,1,1
733,NDPS,20,1,1
734,PMLA,3,1,1
735,ITA,67,1,1
736,IPC,379,1,1
737,PMLA,3,1,1
738,ITA,67,1,1
739,ITA,66D,1,1
740,ITA,66D,1,1
741,IPC,302,1,1
742,ITA,66D,1,1
743,PMLA,3,1,1
744,ITA,66C,1,1
745,PMLA,3,1,1
746,ITA,66D,1,1
747,IPC,379,1,1
748,ITA,67,1,1
749,PMLA,3,1,1
750,ITA,66D,1,1
751,ITA,66C,1,1
752,ITA,67,1,1
753,ITA,66C,1,1
754,NDPS,20,1,1
755,PMLA,3,1,1
756,IPC,302,1,1
757,ITA,66C,1,1
758,ITA,66C,1,1
759,ITA,66C,1,1
760,PMLA,3,1,1
761,IPC,379,1,1
762,ITA,66D,1,1
763,ITA,67,1,1
764,ITA,66C,1,1
765,ITA,66C,1,1
766,ITA,66C,1,1
767,ITA,66D,1,1
768,ITA,67,1,1
769,ITA,66C,1,1
770,IPC,379,1,1
771,ITA,66D,1,1
772,ITA,66C,1,1
773,ITA,66C,1,1
774,ITA,66C,1,1
775,ITA,66D,1,1
776,ITA,66C,1,1
777,ITA,66D,1,1
778,IPC,379,1,1
779,ITA,66C,1,1
780,IPC,302,1,1
781,IPC,379,1,1
782,ITA,66D,1,1
783,ITA,67,1,1
784,IPC,379,1,1
785,ITA,66C,1,1
786,ITA,66D,1,1
787,ITA,66D,1,1
788,ITA,67,1,1
789,PMLA,3,1,1
790,ITA,66D,1,1
791,IPC,302,1,1
792,IPC,379,1,1
793,ITA,66C,1,1
794,PMLA,3,1,1
795,ITA,66C,1,1
796,ITA,66D,1,1
797,ITA,67,1,1
798,IPC,302,1,1
799,ITA,67,1,1
800,ITA,66C,1,1
801,ITA,66D,1,1
802,IPC,379,1,1
803,ITA,66C,1,1
804,ITA,66C,1,1
805,ITA,66C,1,1
806,ITA,66C,1,1
807,ITA,67,1,1
808,ITA,66C,1,1
809,NDPS,20,1,1
810,PMLA,3,1,1
811,IPC,302,1,1
812,ITA,67,1,1
813,IPC,363,1,1
814,PMLA,3,1,1
815,IPC,302,1,1
816,ITA,66D,1,1
817,ITA,66D,1,1
818,ITA,66C,1,1
819,ITA,66C,1,1
820,ITA,67,1,1
821,ITA,66D,1,1
822,PMLA,3,1,1
823,PMLA,3,1,1
824,IPC,379,1,1
825,ITA,66C,1,1
826,IPC,379,1,1
827,ITA,66C,1,1
828,ITA,66C,1,1
829,IPC,302,1,1
830,ITA,66C,1,1
831,ITA,67,1,1
832,ITA,66D,1,1
833,IPC,379,1,1
834,IPC,379,1,1
835,PMLA,3,1,1
836,ITA,67,1,1
837,ITA,66C,1,1
838,ITA,67,1,1
839,ITA,66C,1,1
840,ITA,67,1,1
841,NDPS,20,1,1
842,PMLA,3,1,1
843,ITA,66C,1,1
844,NDPS,20,1,1
845,ITA,67,1,1
846,ITA,67,1,1
847,ITA,66C,1,1
848,PMLA,3,1,1
849,IPC,379,1,1
850,ITA,67,1,1
851,NDPS,20,1,1
852,IPC,379,1,1
853,ITA,67,1,1
854,PMLA,3,1,1
855,ITA,67,1,1
856,ITA,66C,1,1
857,ITA,67,1,1
858,ITA,66C,1,1
859,IPC,302,1,1
860,ITA,66D,1,1
861,ITA,66C,1,1
862,ITA,66C,1,1
863,ITA,67,1,1
864,ITA,67,1,1
865,ITA,66C,1,1
866,PMLA,3,1,1
867,ITA,66C,1,1
868,ITA,66C,1,1
869,ITA,66C,1,1
870,PMLA,3,1,1
871,PMLA,3,1,1
872,IPC,302,1,1
873,IPC,379,1,1
874,PMLA,3,1,1
875,NDPS,20,1,1
876,NDPS,20,1,1
877,ITA,66D,1,1
878,IPC,379,1,1
879,ITA,67,1,1
880,ITA,66C,1,1
881,IPC,379,1,1
882,ITA,66C,1,1
883,ITA,66C,1,1
884,ITA,66D,1,1
885,ITA,66C,1,1
886,ITA,66D,1,1
887,PMLA,3,1,1
888,ITA,66C,1,1
889,IPC,302,1,1
890,NDPS,20,1,1
891,ITA,66D,1,1
892,ITA,66D,1,1
893,PMLA,3,1,1
894,ITA,66D,1,1
895,ITA,66C,1,1
896,IPC,363,1,1
897,IPC,379,1,1
898,PMLA,3,1,1
899,ITA,66D,1,1
900,IPC,379,1,1
901,ITA,66C,1,1
902,ITA,67,1,1
903,IPC,379,1,1
904,PMLA,3,1,1
905,ITA,66D,1,1
906,ITA,67,1,1
907,ITA,66C,1,1
908,ITA,66C,1,1
909,ITA,66C,1,1
910,PMLA,3,1,1
911,ITA,66C,1,1
912,ITA,66C,1,1
913,ITA,67,1,1
914,ITA,67,1,1
915,ITA,67,1,1
916,PMLA,3,1,1
917,ITA,66D,1,1
918,ITA,66D,1,1
919,ITA,66C,1,1
920,ITA,66C,1,1
921,ITA,66D,1,1
922,ITA,66C,1,1
923,IPC,379,1,1
924,ITA,66C,1,1
925,IPC,379,1,1
926,ITA,66D,1,1
927,IPC,379,1,1
928,PMLA,3,1,1
929,PMLA,3,1,1
930,ITA,66C,1,1
931,ITA,67,1,1
932,PMLA,3,1,1
933,PMLA,3,1,1
934,ITA,67,1,1
935,ITA,66C,1,1
936,ITA,67,1,1
937,ITA,66C,1,1
938,ITA,67,1,1
939,ITA,67,1,1
940,PMLA,3,1,1
941,ITA,66C,1,1
942,ITA,66D,1,1
943,ITA,66C,1,1
944,ITA,67,1,1
945,ITA,66D,1,1
946,PMLA,3,1,1
947,ITA,67,1,1
948,ITA,66C,1,1
949,NDPS,20,1,1
950,ITA,66C,1,1
951,ITA,66C,1,1
952,ITA,66D,1,1
953,ITA,67,1,1
954,ITA,66D,1,1
955,ITA,67,1,1
956,PMLA,3,1,1
957,ITA,66D,1,1
958,IPC,363,1,1
959,ITA,67,1,1
960,ITA,66C,1,1
961,IPC,302,1,1
962,ITA,67,1,1
963,ITA,66C,1,1
964,ITA,66C,1,1
965,PMLA,3,1,1
966,ITA,66C,1,1
967,ITA,66C,1,1
968,ITA,66C,1,1
969,ITA,66C,1,1
970,ITA,66C,1,1
971,IPC,363,1,1
972,ITA,66D,1,1
973,IPC,302,1,1
974,ITA,66D,1,1
975,IPC,302,1,1
976,ITA,66D,1,1
977,ITA,67,1,1
978,PMLA,3,1,1
979,IPC,379,1,1
980,ITA,66D,1,1
981,ITA,66C,1,1
982,IPC,379,1,1
983,ITA,66C,1,1
984,ITA,66D,1,1
985,ITA,66C,1,1
986,IPC,379,1,1
987,ITA,66C,1,1
988,ITA,66C,1,1
989,PMLA,3,1,1
990,PMLA,3,1,1
991,ITA,66C,1,1
992,NDPS,20,1,1
993,PMLA,3,1,1
994,ITA,66C,1,1
995,ITA,66C,1,1
996,ITA,66C,1,1
997,IPC,379,1,1
998,IPC,379,1,1
999,ITA,66C,1,1
1000,ITA,66D,1,1
1001,ITA,66C,1,1
1002,ITA,66C,1,1
1003,ITA,66C,1,1
1004,ITA,67,1,1
1005,IPC,379,1,1
1006,ITA,66C,1,1
1007,ITA,66D,1,1
1008,ITA,66C,1,1
1009,ITA,67,1,1
1010,ITA,66C,1,1
1011,ITA,67,1,1
1012,PMLA,3,1,1
1013,ITA,67,1,1
1014,PMLA,3,1,1
1015,NDPS,20,1,1
1016,ITA,67,1,1
1017,ITA,66D,1,1
1018,ITA,67,1,1
1019,ITA,66C,1,1
1020,ITA,66C,1,1
1021,IPC,379,1,1
1022,ITA,66C,1,1
1023,ITA,66D,1,1
1024,ITA,66D,1,1
1025,ITA,66C,1,1
1026,ITA,66C,1,1
1027,ITA,66C,1,1
1028,ITA,66C,1,1
1029,PMLA,3,1,1
1030,ITA,66C,1,1
1031,ITA,66C,1,1
1032,ITA,66C,1,1
1033,ITA,67,1,1
1034,IPC,379,1,1
1035,ITA,66D,1,1
1036,PMLA,3,1,1
1037,PMLA,3,1,1
1038,ITA,66C,1,1
1039,ITA,66C,1,1
1040,PMLA,3,1,1
1041,ITA,66C,1,1
1042,ITA,67,1,1
1043,ITA,66C,1,1
1044,ITA,66C,1,1
1045,ITA,66C,1,1
1046,ITA,66D,1,1
1047,ITA,67,1,1
1048,ITA,66C,1,1
1049,ITA,66C,1,1
1050,ITA,66C,1,1
1051,ITA,67,1,1
1052,ITA,67,1,1
1053,ITA,67,1,1
1054,ITA,67,1,1
1055,PMLA,3,1,1
1056,ITA,66D,1,1
1057,ITA,67,1,1
1058,ITA,66C,1,1
1059,ITA,66C,1,1
1060,ITA,66D,1,1
1061,ITA,66D,1,1
1062,ITA,66C,1,1
1063,IPC,379,1,1
1064,NDPS,20,1,1
1065,PMLA,3,1,1
1066,PMLA,3,1,1
1067,ITA,66C,1,1
1068,PMLA,3,1,1
1069,ITA,66D,1,1
1070,PMLA,3,1,1
1071,ITA,66C,1,1
1072,IPC,302,1,1
1073,ITA,66C,1,1
1074,ITA,66C,1,1
1075,PMLA,3,1,1
1076,ITA,67,1,1
1077,ITA,66C,1,1
1078,IPC,379,1,1
1079,ITA,66D,1,1
1080,PMLA,3,1,1
1081,ITA,66C,1,1
1082,ITA,67,1,1
1083,ITA,66C,1,1
1084,ITA,67,1,1
1085,ITA,66C,1,1
1086,IPC,379,1,1
1087,ITA,66D,1,1
1088,ITA,67,1,1
