CSID,CaseMasterID,csdate,cstype,PolicePersonID
251,834,2025-06-13T16:40:05,B,171
252,836,2021-09-13T15:37:59,A,176
253,838,2021-12-06T05:11:07,C,70
254,845,2026-06-30T05:55:36,C,25
255,848,2024-08-14T01:01:34,A,53
256,849,2025-05-16T18:27:26,B,67
257,856,2021-07-11T13:31:08,A,247
258,857,2026-04-07T10:30:24,C,97
259,858,2024-02-12T03:14:51,C,267
260,866,2021-08-21T21:51:28,C,269
261,867,2023-04-21T14:40:39,A,262
262,875,2021-09-22T22:19:11,B,103
263,880,2026-04-08T07:49:35,C,265
264,881,2025-07-09T17:40:50,C,78
265,885,2023-11-15T16:07:07,B,215
266,887,2025-06-04T15:16:10,B,13
267,901,2024-12-07T07:10:15,A,166
268,914,2022-04-09T12:57:34,A,9
269,920,2024-04-08T09:19:20,A,204
270,922,2023-11-27T08:43:01,A,8
271,925,2025-06-30T21:01:08,C,124
272,927,2026-10-05T08:56:06,C,181
273,929,2022-07-12T14:51:56,C,103
274,931,2021-09-05T17:05:34,A,71
275,940,2023-05-09T19:45:09,A,222
276,941,2025-09-29T05:48:41,A,212
277,950,2026-02-07T19:08:22,B,33
278,951,2024-04-21T05:36:55,B,76
279,955,2023-08-20T02:12:21,B,69
280,956,2021-09-05T00:12:13,A,43
281,962,2023-09-23T02:59:04,A,125
282,963,2021-08-05T17:17:21,C,100
283,970,2024-04-01T13:58:02,C,134
284,971,2025-11-12T13:32:24,A,32
285,973,2022-10-02T20:33:20,A,143
286,978,2022-07-29T11:31:01,C,116
287,984,2022-01-19T12:37:40,B,15
288,987,2021-05-06T15:19:37,A,2
289,993,2021-11-12T11:13:19,B,224
290,999,2021-05-21T14:32:39,C,117
291,1001,2025-01-09T20:56:56,C,146
292,1003,2022-10-05T14:22:41,A,78
293,1005,2023-02-24T10:22:36,A,232
294,1006,2021-11-16T14:12:50,B,111
295,1009,2022-07-03T18:47:55,C,215
296,1011,2021-10-06T21:12:28,A,36
297,1015,2023-06-09T03:20:53,C,224
298,1017,2026-02-08T10:30:27,A,198
299,1024,2023-07-13T23:55:59,C,174
300,1026,2025-08-20T16:32:23,A,20
301,1028,2023-12-20T13:48:08,B,231
302,1033,2021-05-11T09:04:13,A,256
303,1038,2025-03-25T01:10:29,A,66
304,1040,2023-08-31T07:29:04,A,61
305,1042,2022-12-10T11:48:24,A,146
306,1048,2024-04-13T21:46:14,C,58
307,1050,2023-11-28T20:40:38,C,13
308,1052,2026-04-12T00:55:48,A,245
309,1053,2022-07-29T00:55:35,C,186
310,1054,2026-05-19T11:08:49,C,26
311,1056,2024-06-28T17:53:17,C,105
312,1059,2026-03-14T06:39:49,C,206
313,1061,2023-08-20T00:09:53,C,97
314,1062,2025-06-18T19:50:50,C,30
315,1067,2025-09-14T17:53:57,C,143
316,1079,2025-07-04T15:50:31,B,224
317,1083,2026-04-02T12:26:47,B,152
318,1087,2022-06-19T09:17:08,A,197
319,1094,2021-09-08T07:44:54,A,271
320,1096,2023-12-12T10:22:39,B,5
321,1099,2023-02-07T17:40:43,B,198
322,1102,2021-05-30T10:51:25,A,106
323,1103,2023-06-26T05:55:49,C,132
324,1104,2022-05-20T15:39:50,B,209
325,1105,2023-10-08T14:06:46,A,198
326,1109,2025-02-18T11:57:20,A,58
327,1114,2025-07-25T15:25:57,A,200
328,1116,2026-02-28T03:28:05,A,224
329,1119,2023-12-22T20:09:32,B,275
330,1120,2026-01-22T23:24:46,C,123
331,1126,2026-06-07T15:05:29,C,30
332,1127,2022-11-05T14:48:59,B,118
333,1129,2022-05-19T11:38:53,C,237
334,1132,2022-04-21T22:59:17,B,53
335,1140,2024-05-16T02:48:01,B,48
336,1149,2022-10-11T17:24:03,B,202
337,1150,2021-03-14T16:56:59,B,87
338,1151,2025-07-15T09:14:38,C,164
339,1153,2024-01-09T22:44:28,A,20
340,1160,2025-04-25T17:16:16,A,186
341,1163,2021-06-10T19:45:26,B,59
342,1165,2021-08-11T15:54:44,C,150
343,1166,2026-01-21T19:39:16,B,227
344,1172,2026-08-05T14:50:54,A,260
345,1174,2026-03-19T14:42:34,B,132
346,1180,2022-10-08T09:36:04,B,47
347,1181,2025-03-15T15:52:51,A,47
348,1191,2024-01-10T12:44:23,B,35
349,1195,2023-12-08T06:34:47,C,256
350,1197,2026-08-27T13:47:06,A,138
351,1198,2025-01-13T09:35:22,A,246
352,1202,2024-05-21T23:35:51,B,7
353,1203,2022-10-16T04:35:47,B,127
354,1205,2024-02-02T09:45:51,B,95
355,1207,2021-10-23T07:46:34,C,75
356,1208,2025-11-16T14:42:58,A,12
357,1209,2025-08-20T14:36:00,C,207
358,1211,2026-04-13T23:43:07,A,155
359,1212,2021-06-19T14:03:14,C,63
360,1213,2025-03-22T05:25:06,A,129
361,1217,2021-10-25T23:07:14,C,170
362,1230,2021-06-14T02:23:48,B,53
363,1233,2023-10-01T01:13:10,B,42
364,1234,2021-03-18T18:42:14,A,101
365,1237,2025-10-10T06:41:57,A,83
366,1239,2023-05-02T10:07:37,B,41
367,1241,2023-10-14T07:08:29,A,9
368,1243,2025-07-05T22:23:45,C,208
369,1244,2025-07-09T21:57:58,A,207
370,1247,2026-03-21T14:48:45,B,23
371,1250,2022-08-20T04:55:05,C,262
372,1252,2021-04-27T22:57:29,A,131
373,1253,2025-10-28T14:15:24,B,62
374,1254,2021-12-09T00:18:06,B,29
375,1256,2024-08-05T05:30:47,A,173
376,1258,2026-02-09T13:36:59,A,94
377,1260,2021-05-30T02:42:07,C,192
378,1263,2026-02-18T02:24:22,A,120
379,1267,2023-05-05T21:59:01,B,198
380,1268,2026-03-08T18:27:53,A,115
381,1270,2025-11-26T06:59:06,B,16
382,1271,2025-03-07T23:30:40,B,54
383,1272,2025-06-23T20:20:38,A,20
384,1276,2026-08-30T02:36:31,B,76
385,1281,2025-08-07T01:18:14,B,228
386,1282,2022-03-13T14:37:57,C,162
387,1283,2024-05-06T21:28:38,A,223
388,1284,2023-02-05T17:49:39,A,253
389,1286,2022-02-28T22:27:02,B,80
390,1289,2024-03-13T08:26:52,A,9
391,1292,2021-06-27T15:35:42,B,189
392,1296,2022-02-02T08:53:45,A,243
393,1299,2024-08-24T19:31:46,B,53
394,1301,2022-12-01T23:48:51,B,99
395,1303,2025-11-21T14:16:09,A,65
396,1308,2023-01-20T05:49:41,C,47
397,1316,2025-03-11T14:42:24,C,77
398,1319,2025-09-03T11:54:53,C,135
399,1320,2024-12-05T15:18:10,A,9
400,1321,2023-03-06T06:28:54,C,19
401,1324,2021-12-25T15:06:29,B,67
402,1330,2021-09-01T12:15:18,A,43
403,1334,2022-06-08T13:09:46,A,249
404,1338,2026-09-25T22:46:11,C,4
405,1343,2022-10-25T19:27:15,B,256
406,1354,2022-12-02T04:06:18,B,61
407,1362,2022-11-27T00:53:32,B,5
408,1367,2025-04-14T08:16:07,A,158
409,1371,2023-07-06T17:53:42,B,206
410,1373,2025-06-13T06:03:26,C,98
411,1374,2021-04-23T12:57:31,B,3
412,1375,2022-05-04T07:22:54,C,107
413,1381,2023-05-05T07:45:19,B,186
414,1382,2021-12-26T23:18:17,A,92
415,1388,2021-12-31T07:27:51,C,264
416,1394,2025-11-05T07:12:23,C,69
417,1396,2023-05-16T16:53:46,C,192
418,1399,2022-11-08T09:32:40,A,78
419,1400,2023-08-28T04:31:38,B,212
420,1402,2021-11-21T18:25:06,A,204
421,1415,2024-10-05T10:41:27,B,280
422,1427,2025-04-19T18:29:34,B,152
423,1429,2024-09-14T16:48:39,A,148
424,1431,2025-05-14T13:47:23,C,159
425,1436,2026-08-19T04:11:37,A,105
426,1437,2026-07-21T02:18:56,C,265
427,1438,2023-03-08T02:45:54,A,217
428,1441,2023-12-22T21:56:37,B,53
429,1442,2026-03-02T23:53:02,A,232
430,1444,2022-01-09T23:00:47,A,65
431,1447,2021-07-25T12:18:45,B,237
432,1448,2021-04-07T19:57:20,A,174
433,1455,2024-09-27T06:03:06,B,113
434,1456,2025-03-19T07:07:43,B,128
435,1465,2024-05-31T14:22:08,B,12
436,1473,2021-09-05T14:03:00,A,3
437,1474,2023-10-03T10:26:24,C,208
438,1476,2022-06-16T13:12:17,A,275
439,1477,2025-09-12T00:17:45,A,40
440,1481,2026-04-02T23:14:38,A,198
441,1483,2022-12-06T19:44:27,C,3
442,1484,2026-02-02T00:23:51,A,227
443,1487,2024-06-27T09:41:34,B,199
444,1491,2026-04-24T16:35:55,B,277
445,1492,2021-10-30T18:17:47,A,224
446,1498,2024-05-22T23:27:18,B,100
447,1500,2025-05-16T11:05:43,B,210
448,1501,2022-12-16T14:41:35,C,38
449,1511,2025-04-24T14:17:34,B,229
450,1514,2023-11-14T04:04:59,B,103
451,1517,2021-03-25T12:22:55,C,201
452,1522,2022-02-09T20:42:11,B,128
453,1531,2023-09-02T19:13:39,C,174
454,1532,2025-08-30T17:12:12,C,24
455,1541,2025-11-19T22:12:48,A,269
456,1543,2026-06-21T13:18:39,A,75
457,1546,2021-07-10T21:06:53,C,255
458,1547,2021-02-21T09:41:00,B,220
459,1548,2026-09-06T01:37:02,C,165
460,1552,2021-08-14T15:17:14,B,1
461,1554,2022-01-02T03:44:01,C,49
462,1563,2024-07-12T01:21:22,A,29
463,1565,2023-03-02T20:50:02,A,96
464,1568,2026-05-08T03:28:00,B,259
465,1572,2026-09-06T03:55:51,A,278
466,1576,2026-06-15T10:01:58,A,174
467,1578,2022-05-27T18:58:22,A,180
468,1581,2025-04-28T08:23:12,A,199
469,1583,2021-05-14T11:44:39,C,165
470,1586,2024-07-06T18:28:17,B,43
471,1589,2026-09-02T21:04:32,A,101
472,1590,2023-09-18T21:05:55,A,171
473,1594,2022-08-04T02:35:41,B,124
474,1595,2022-03-13T14:34:52,B,7
475,1596,2025-11-29T07:22:12,A,215
476,1598,2022-04-16T09:20:56,B,26
477,1601,2021-11-17T11:53:44,B,154
478,1603,2023-11-25T00:58:27,A,121
479,1612,2021-11-13T08:17:34,A,198
480,1621,2021-06-09T06:15:38,A,59
481,1625,2023-10-04T22:51:49,A,189
482,1629,2021-07-24T17:45:29,C,83
483,1631,2022-03-03T21:00:19,B,41
484,1633,2025-06-13T00:13:45,A,24
485,1634,2025-01-18T03:29:31,A,61
486,1639,2023-12-21T17:22:04,A,214
487,1645,2026-07-07T16:25:49,C,165
488,1647,2022-10-28T16:34:30,B,144
489,1650,2025-09-19T00:30:29,A,51
490,1653,2024-04-06T09:55:31,C,120
491,1663,2022-06-25T01:51:58,A,148
492,1665,2025-02-09T07:47:26,B,184
493,1669,2023-02-22T19:07:45,B,204
494,1670,2023-03-21T07:52:17,C,36
495,1672,2024-08-20T13:04:13,C,57
496,1673,2023-06-04T05:44:08,C,153
497,1674,2022-08-09T15:24:22,A,249
498,1677,2024-01-23T05:39:11,A,27
499,1678,2024-01-11T22:00:39,B,170
500,1681,2025-11-09T04:38:56,B,147
501,1683,2025-11-04T18:04:49,B,221
502,1685,2025-05-24T07:50:20,A,29
503,1692,2026-05-09T12:52:42,A,265
504,1694,2022-07-27T13:10:28,A,247
505,1701,2021-06-04T06:08:20,A,213
506,1715,2023-10-29T22:17:25,C,54
507,1717,2025-11-11T02:09:43,C,231
508,1722,2021-11-25T19:18:25,A,8
509,1723,2022-12-14T02:47:34,A,212
510,1724,2021-07-20T13:57:55,C,53
511,1725,2025-04-25T12:23:53,B,143
512,1728,2024-11-11T04:59:56,A,136
513,1735,2026-05-05T20:06:28,B,211
514,1736,2022-04-02T23:58:53,A,243
515,1743,2021-05-23T22:37:49,A,28
516,1747,2024-01-09T11:20:34,A,107
517,1748,2023-12-14T21:17:07,B,254
518,1752,2024-01-06T14:10:40,C,33
519,1753,2025-04-07T21:33:13,A,132
520,1757,2021-04-01T13:31:37,C,267
521,1760,2024-01-30T00:02:59,B,123
522,1763,2024-11-15T05:45:07,A,220
523,1767,2021-05-11T16:12:19,A,97
524,1769,2024-01-27T09:42:14,C,128
525,1770,2023-09-16T08:40:55,B,268
526,1771,2025-02-24T15:31:12,A,196
527,1777,2022-03-25T11:40:30,A,86
528,1779,2025-11-30T22:42:56,C,223
529,1780,2022-06-22T23:55:14,C,281
530,1788,2022-12-10T09:19:19,C,262
531,1789,2026-07-10T12:45:02,C,73
532,1790,2025-07-28T04:37:02,C,60
533,1791,2025-03-16T22:58:05,C,208
534,1792,2021-06-12T22:49:21,B,189
535,1796,2026-06-05T15:00:25,A,152
536,1799,2024-03-04T02:26:17,A,40
537,1800,2022-10-12T06:01:27,B,208
538,1801,2025-02-18T07:43:50,C,59
539,1811,2023-05-12T04:14:10,C,46
540,1813,2023-09-21T12:54:52,A,39
541,1815,2024-02-05T13:56:35,C,101
542,1821,2023-05-05T02:08:15,A,12
543,1827,2024-06-06T15:49:50,C,244
544,1828,2023-03-27T08:39:22,B,4
545,1836,2026-08-22T00:10:34,B,94
546,1840,2021-07-17T23:26:22,A,122
547,1842,2024-02-12T06:01:20,A,271
548,1849,2021-08-01T00:08:04,C,7
549,1850,2026-07-11T09:13:00,C,205
550,1852,2024-04-02T12:38:16,B,14
551,1855,2021-02-27T08:05:47,B,135
552,1861,2024-06-11T16:27:50,C,209
553,1866,2022-05-03T16:01:59,A,186
554,1869,2025-10-28T02:09:18,C,151
555,1877,2022-07-27T08:53:19,A,128
556,1879,2022-06-11T22:01:06,A,203
557,1883,2024-05-18T21:51:19,B,191
558,1884,2025-10-09T04:34:30,C,14
559,1886,2026-10-04T02:13:38,B,111
560,1887,2023-08-01T09:39:03,C,35
561,1890,2022-06-16T17:52:37,A,63
562,1891,2024-11-18T15:18:56,A,55
563,1894,2025-10-04T19:50:16,B,124
564,1897,2024-01-21T12:59:17,A,264
565,1902,2026-03-13T04:05:29,C,133
566,1904,2025-03-15T08:25:23,A,96
567,1905,2021-05-30T23:23:42,B,157
568,1910,2024-05-24T08:57:56,A,167
569,1915,2023-11-01T11:07:30,B,181
570,1920,2022-03-15T12:32:49,A,54
571,1922,2026-01-29T14:35:37,B,113
572,1925,2022-03-22T21:25:13,C,7
573,1930,2021-05-27T08:28:06,B,155
574,1938,2022-01-30T12:19:41,A,27
575,1940,2024-12-19T07:25:10,B,262
576,1944,2025-06-07T06:28:14,B,255
577,1945,2024-11-02T19:33:40,C,6
578,1946,2023-09-03T12:04:49,B,41
579,1947,2023-11-12T20:19:30,C,165
580,1948,2024-09-28T10:05:23,C,280
581,1951,2024-05-28T10:20:38,B,20
582,1954,2023-11-04T16:04:03,B,11
583,1961,2023-10-07T19:39:27,C,134
584,1967,2024-12-17T16:39:46,A,128
585,1969,2026-06-30T08:25:05,A,105
586,1975,2022-03-26T03:15:15,C,75
587,1979,2025-02-01T06:59:40,A,36
588,1980,2021-04-07T16:33:31,C,254
589,1981,2024-12-09T12:52:18,C,143
590,1986,2026-07-05T19:48:05,B,24
591,1993,2021-03-25T19:55:11,A,61
592,1994,2021-03-25T04:55:48,C,114
593,1995,2021-11-01T12:58:50,B,259
594,1996,2024-11-11T07:17:47,A,117
595,1998,2025-10-02T22:05:24,B,27
596,1999,2023-11-13T02:04:33,B,39
597,2003,2025-11-16T14:55:33,B,91
598,2006,2021-09-12T06:07:22,C,259
599,2007,2023-05-07T17:24:39,B,156
600,2013,2026-09-03T03:13:47,A,6
601,2020,2023-05-28T20:35:38,C,149
602,2021,2024-03-10T17:31:49,A,80
603,2029,2022-08-27T07:28:15,B,23
604,2030,2021-08-18T17:22:08,B,89
605,2044,2023-11-02T01:30:43,B,95
606,2045,2022-09-21T09:23:07,B,46
607,2046,2023-12-07T04:18:15,B,92
608,2047,2026-02-07T16:25:35,A,97
609,2049,2021-09-24T01:43:50,B,263
610,2051,2024-08-06T19:30:52,B,254
611,2052,2023-01-06T11:15:09,B,228
612,2057,2024-09-16T06:09:22,A,124
613,2065,2025-07-04T16:48:20,B,121
614,2066,2023-05-24T23:42:51,C,192
615,2068,2023-05-20T19:53:11,A,34
616,2072,2026-03-04T16:38:33,C,252
617,2078,2021-04-10T11:20:09,B,255
618,2079,2023-06-07T22:48:53,C,109
619,2081,2024-10-17T04:56:28,B,154
620,2082,2022-08-22T17:40:42,B,277
621,2086,2022-09-12T11:58:46,C,180
622,2087,2022-11-01T18:38:53,C,179
623,2097,2024-07-09T19:41:31,B,91
624,2099,2021-09-26T06:56:55,C,43
625,2110,2024-08-26T19:45:40,B,136
626,2111,2023-10-30T16:28:40,C,112
627,2112,2026-03-18T16:39:56,A,236
628,2113,2025-01-23T07:25:07,B,222
629,2119,2025-01-24T11:55:28,B,231
630,2122,2023-06-10T00:33:32,B,247
631,2132,2022-10-30T02:23:44,B,9
632,2137,2022-04-24T03:59:14,A,227
633,2147,2022-08-22T19:30:12,C,270
634,2154,2021-04-16T03:12:58,C,221
635,2156,2021-11-20T07:04:01,A,7
636,2158,2021-11-05T03:45:59,B,18
637,2161,2024-01-25T20:54:02,A,12
638,2167,2024-04-21T20:09:16,C,31
639,2168,2024-08-10T15:09:02,C,88
640,2172,2021-12-20T02:04:10,B,46
641,2177,2025-07-14T10:24:34,C,22
642,2178,2026-03-19T21:10:19,B,230
643,2181,2025-03-31T10:11:23,B,219
644,2182,2024-11-16T16:22:14,C,159
645,2184,2026-06-10T09:24:49,B,85
646,2189,2025-04-25T11:47:26,B,70
647,2190,2022-06-18T10:15:23,A,133
