CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,BriefFacts
16,200100777202300007,202300007,2023-11-11,14,9,2,2,2,4,3,10,"On 10-11-2023, a case of Cyber Crime was reported at Chitradurga Town PS, Chitradurga district. Investigation taken up under IT Act."
17,300290838202500003,202500003,2025-10-20,15,14,3,2,2,4,1,17,"On 20-10-2025, a case of Cyber Crime was reported at Vijayanagara Town PS, Vijayanagara district. Investigation taken up under IT Act."
18,100180260202300008,202300008,2023-08-26,16,15,1,1,4,7,2,19,"On 25-08-2023, a case of Drug Offence was reported at Kodagu Town PS, Kodagu district. Investigation taken up under NDPS."
19,100230673202600002,202600002,2026-01-16,17,16,1,2,2,3,3,24,"On 15-01-2026, a case of Cryptocurrency Crime was reported at Raichur Rural PS, Raichur district. Investigation taken up under IT Act."
20,100160489202500004,202500004,2025-01-21,18,17,1,2,2,4,1,17,"On 19-01-2025, a case of Cyber Crime was reported at Haveri Rural PS, Haveri district. Investigation taken up under IT Act."
21,100100522202300009,202300009,2023-07-31,19,18,1,1,2,5,3,17,"On 29-07-2023, a case of Dark Web Crime was reported at Chitradurga Rural PS, Chitradurga district. Investigation taken up under IT Act."
22,100160489202200002,202200002,2022-07-28,20,17,1,2,2,4,1,16,"On 27-07-2022, a case of Cyber Crime was reported at Haveri Rural PS, Haveri district. Investigation taken up under IT Act."
23,100200787202500005,202500005,2025-08-21,21,19,1,2,2,3,2,21,"On 19-08-2025, a case of Cryptocurrency Crime was reported at Koppal Town PS, Koppal district. Investigation taken up under IT Act."
24,100310477202500006,202500006,2025-01-01,22,20,1,1,4,7,3,32,"On 31-12-2024, a case of Drug Offence was reported at Yadgir Rural PS, Yadgir district. Investigation taken up under NDPS."
25,100220538202500007,202500007,2025-09-09,23,21,1,1,4,7,3,23,"On 08-09-2025, a case of Drug Offence was reported at Saraswathipuram PS, Mysuru district. Investigation taken up under NDPS."
26,100170489202500008,202500008,2025-08-02,24,22,1,1,1,2,1,18,"On 01-08-2025, a case of Murder was reported at Kalaburagi Rural PS, Kalaburagi district. Investigation taken up under IPC."
27,100310672202300010,202300010,2023-11-20,25,23,1,1,2,5,1,32,"On 18-11-2023, a case of Dark Web Crime was reported at Yadgir Town PS, Yadgir district. Investigation taken up under IT Act."
28,200230413202500009,202500009,2025-12-18,26,24,2,1,2,5,1,24,"On 17-12-2025, a case of Dark Web Crime was reported at Raichur Town PS, Raichur district. Investigation taken up under IT Act."
29,100090582202600003,202600003,2026-03-03,27,25,1,2,2,3,1,9,"On 02-03-2026, a case of Cryptocurrency Crime was reported at Chikkamagaluru Rural PS, Chikkamagaluru district. Investigation taken up under IT Act."
30,100300393202200003,202200003,2022-12-28,28,26,1,2,2,4,2,31,"On 28-12-2022, a case of Cyber Crime was reported at Vijayapura Rural PS, Vijayapura district. Investigation taken up under IT Act."
31,100100522202200004,202200004,2022-03-11,19,18,1,1,2,5,2,17,"On 11-03-2022, a case of Dark Web Crime was reported at Chitradurga Rural PS, Chitradurga district. Investigation taken up under IT Act."
32,100290606202300011,202300011,2023-01-29,29,27,1,2,2,3,3,30,"On 27-01-2023, a case of Cryptocurrency Crime was reported at Vijayanagara Rural PS, Vijayanagara district. Investigation taken up under IT Act."
33,100010796202100004,202100004,2021-06-14,30,28,1,1,3,6,1,1,"On 12-06-2021, a case of Money Laundering was reported at Bagalkot Rural PS, Bagalkot district. Investigation taken up under PMLA."
34,100310672202500010,202500010,2025-01-29,31,23,1,2,2,4,1,32,"On 28-01-2025, a case of Cyber Crime was reported at Yadgir Town PS, Yadgir district. Investigation taken up under IT Act."
35,100140936202400003,202400003,2024-09-05,32,29,1,1,3,6,3,17,"On 03-09-2024, a case of Money Laundering was reported at Gadag Town PS, Gadag district. Investigation taken up under PMLA."
36,100080234202500011,202500011,2025-09-25,8,8,1,2,2,4,3,8,"On 25-09-2025, a case of Cyber Crime was reported at Chikkaballapur Town PS, Chikkaballapur district. Investigation taken up under IT Act."
37,100120527202300012,202300012,2023-10-07,33,30,1,1,1,2,3,12,"On 05-10-2023, a case of Murder was reported at Davanagere Town PS, Davanagere district. Investigation taken up under IPC."
38,200140936202600004,202600004,2026-01-19,34,29,2,2,2,3,3,14,"On 17-01-2026, a case of Cryptocurrency Crime was reported at Gadag Town PS, Gadag district. Investigation taken up under IT Act."
39,100010796202400004,202400004,2024-08-31,35,28,1,2,2,3,1,1,"On 30-08-2024, a case of Cryptocurrency Crime was reported at Bagalkot Rural PS, Bagalkot district. Investigation taken up under IT Act."
40,100210163202100005,202100005,2021-08-28,36,31,1,2,2,4,1,22,"On 26-08-2021, a case of Cyber Crime was reported at Mandya Rural PS, Mandya district. Investigation taken up under IT Act."
41,100300393202200005,202200005,2022-04-15,37,26,1,1,2,5,1,31,"On 15-04-2022, a case of Dark Web Crime was reported at Vijayapura Rural PS, Vijayapura district. Investigation taken up under IT Act."
42,100280138202300013,202300013,2023-05-31,38,32,1,1,3,6,3,29,"On 29-05-2023, a case of Money Laundering was reported at Uttara Kannada Town PS, Uttara Kannada district. Investigation taken up under PMLA."
43,100300609202100006,202100006,2021-02-27,39,33,1,2,2,4,2,31,"On 26-02-2021, a case of Cyber Crime was reported at Vijayapura Town PS, Vijayapura district. Investigation taken up under IT Act."
44,100260209202200006,202200006,2022-08-28,40,34,1,1,2,5,2,27,"On 26-08-2022, a case of Dark Web Crime was reported at Tumakuru Town PS, Tumakuru district. Investigation taken up under IT Act."
45,100280205202100007,202100007,2021-11-06,41,35,1,2,2,4,3,17,"On 04-11-2021, a case of Cyber Crime was reported at Uttara Kannada Rural PS, Uttara Kannada district. Investigation taken up under IT Act."
46,100040173202300014,202300014,2023-07-25,42,2,1,2,2,4,1,4,"On 25-07-2023, a case of Cyber Crime was reported at Bengaluru Rural Rural PS, Bengaluru Rural district. Investigation taken up under IT Act."
47,200010796202500012,202500012,2025-11-09,43,28,2,2,5,8,1,1,"On 08-11-2025, a case of Theft was reported at Bagalkot Rural PS, Bagalkot district. Investigation taken up under IPC."
48,200010796202300015,202300015,2023-12-10,43,28,2,2,2,3,1,1,"On 08-12-2023, a case of Cryptocurrency Crime was reported at Bagalkot Rural PS, Bagalkot district. Investigation taken up under IT Act."
49,100230673202300016,202300016,2023-07-01,44,16,1,1,4,7,3,24,"On 01-07-2023, a case of Drug Offence was reported at Raichur Rural PS, Raichur district. Investigation taken up under NDPS."
50,100040173202400005,202400005,2024-05-29,2,2,1,2,2,3,3,4,"On 27-05-2024, a case of Cryptocurrency Crime was reported at Bengaluru Rural Rural PS, Bengaluru Rural district. Investigation taken up under IT Act."
51,100220999202100008,202100008,2021-04-19,45,36,1,2,2,3,4,23,"On 19-04-2021, a case of Cryptocurrency Crime was reported at Narasimharaja PS, Mysuru district. Investigation taken up under IT Act."
52,100120469202300017,202300017,2023-03-21,46,37,1,1,3,6,2,12,"On 20-03-2023, a case of Money Laundering was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under PMLA."
53,100290606202300018,202300018,2023-09-21,47,27,1,2,2,3,3,30,"On 20-09-2023, a case of Cryptocurrency Crime was reported at Vijayanagara Rural PS, Vijayanagara district. Investigation taken up under IT Act."
54,200260152202100009,202100009,2021-08-19,48,38,2,1,2,5,3,27,"On 18-08-2021, a case of Dark Web Crime was reported at Tumakuru Rural PS, Tumakuru district. Investigation taken up under IT Act."
55,100050769202600005,202600005,2026-04-26,49,39,1,1,3,6,4,5,"On 25-04-2026, a case of Money Laundering was reported at Whitefield PS, Bengaluru Urban district. Investigation taken up under PMLA."
56,100140936202600006,202600006,2026-05-04,50,29,1,1,3,6,2,14,"On 03-05-2026, a case of Money Laundering was reported at Gadag Town PS, Gadag district. Investigation taken up under PMLA."
57,300070898202200007,202200007,2022-03-25,7,7,3,2,2,3,4,7,"On 23-03-2022, a case of Cryptocurrency Crime was reported at Chamarajanagar Rural PS, Chamarajanagar district. Investigation taken up under IT Act."
58,100280138202500013,202500013,2025-12-01,38,32,1,2,5,8,4,29,"On 30-11-2025, a case of Theft was reported at Uttara Kannada Town PS, Uttara Kannada district. Investigation taken up under IPC."
59,100170489202200008,202200008,2022-11-01,51,22,1,2,2,4,3,18,"On 31-10-2022, a case of Cyber Crime was reported at Kalaburagi Rural PS, Kalaburagi district. Investigation taken up under IT Act."
60,100030178202300019,202300019,2023-09-18,52,40,1,1,3,6,4,3,"On 17-09-2023, a case of Money Laundering was reported at Tilakwadi PS, Belagavi district. Investigation taken up under PMLA."
61,100270812202300020,202300020,2023-10-27,53,3,1,2,2,4,1,28,"On 27-10-2023, a case of Cyber Crime was reported at Udupi Town PS, Udupi district. Investigation taken up under IT Act."
62,100190539202100010,202100010,2021-03-01,54,5,1,2,5,8,3,20,"On 28-02-2021, a case of Theft was reported at Kolar Town PS, Kolar district. Investigation taken up under IPC."
63,200050278202300021,202300021,2023-05-18,55,41,2,2,2,4,2,5,"On 17-05-2023, a case of Cyber Crime was reported at Cubbon Park PS, Bengaluru Urban district. Investigation taken up under IT Act."
64,300240993202200009,202200009,2022-01-16,56,12,3,1,2,5,3,25,"On 14-01-2022, a case of Dark Web Crime was reported at Ramanagara Rural PS, Ramanagara district. Investigation taken up under IT Act."
65,100120469202300022,202300022,2023-03-10,57,37,1,1,1,2,3,12,"On 08-03-2023, a case of Murder was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under IPC."
66,100040121202400006,202400006,2024-07-22,58,42,1,2,2,3,2,4,"On 22-07-2024, a case of Cryptocurrency Crime was reported at Bengaluru Rural Town PS, Bengaluru Rural district. Investigation taken up under IT Act."
67,100100522202500014,202500014,2025-08-17,59,18,1,1,1,2,4,10,"On 15-08-2025, a case of Murder was reported at Chitradurga Rural PS, Chitradurga district. Investigation taken up under IPC."
68,100060763202500015,202500015,2025-12-17,60,43,1,1,3,6,3,6,"On 15-12-2025, a case of Money Laundering was reported at Bidar Town PS, Bidar district. Investigation taken up under PMLA."
69,100290606202600007,202600007,2026-06-09,47,27,1,2,2,4,3,30,"On 08-06-2026, a case of Cyber Crime was reported at Vijayanagara Rural PS, Vijayanagara district. Investigation taken up under IT Act."
70,100270812202600008,202600008,2026-01-26,3,3,1,2,2,4,1,28,"On 26-01-2026, a case of Cyber Crime was reported at Udupi Town PS, Udupi district. Investigation taken up under IT Act."
71,100150229202100011,202100011,2021-04-10,61,44,1,1,2,5,4,15,"On 09-04-2021, a case of Dark Web Crime was reported at Hassan Town PS, Hassan district. Investigation taken up under IT Act."
72,100130485202400007,202400007,2024-07-26,62,45,1,2,2,4,3,17,"On 26-07-2024, a case of Cyber Crime was reported at Dharwad Town PS, Dharwad district. Investigation taken up under IT Act."
73,100080382202500016,202500016,2025-06-09,63,13,1,1,2,5,3,8,"On 08-06-2025, a case of Dark Web Crime was reported at Chikkaballapur Rural PS, Chikkaballapur district. Investigation taken up under IT Act."
74,100120469202300023,202300023,2023-09-19,57,37,1,2,5,8,3,12,"On 18-09-2023, a case of Theft was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under IPC."
75,100310477202500017,202500017,2025-07-06,64,20,1,1,3,6,3,17,"On 05-07-2025, a case of Money Laundering was reported at Yadgir Rural PS, Yadgir district. Investigation taken up under PMLA."
76,100070898202100012,202100012,2021-02-18,65,7,1,2,2,4,3,7,"On 17-02-2021, a case of Cyber Crime was reported at Chamarajanagar Rural PS, Chamarajanagar district. Investigation taken up under IT Act."
77,100180644202200010,202200010,2022-09-03,66,46,1,2,2,4,1,19,"On 02-09-2022, a case of Cyber Crime was reported at Kodagu Rural PS, Kodagu district. Investigation taken up under IT Act."
78,300020891202200011,202200011,2022-03-05,67,4,3,2,2,4,3,2,"On 04-03-2022, a case of Cyber Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act."
79,100010796202100013,202100013,2021-02-23,43,28,1,2,2,3,1,1,"On 21-02-2021, a case of Cryptocurrency Crime was reported at Bagalkot Rural PS, Bagalkot district. Investigation taken up under IT Act."
80,100260152202400008,202400008,2024-03-06,68,38,1,2,2,4,3,27,"On 05-03-2024, a case of Cyber Crime was reported at Tumakuru Rural PS, Tumakuru district. Investigation taken up under IT Act."
81,100280205202500018,202500018,2025-10-25,41,35,1,2,2,3,2,29,"On 25-10-2025, a case of Cryptocurrency Crime was reported at Uttara Kannada Rural PS, Uttara Kannada district. Investigation taken up under IT Act."
82,100060803202100014,202100014,2021-09-03,69,47,1,1,3,6,3,6,"On 01-09-2021, a case of Money Laundering was reported at Bidar Rural PS, Bidar district. Investigation taken up under PMLA."
83,100140936202400009,202400009,2024-03-28,70,29,1,1,2,5,4,14,"On 26-03-2024, a case of Dark Web Crime was reported at Gadag Town PS, Gadag district. Investigation taken up under IT Act."
84,100110371202100015,202100015,2021-10-07,71,48,1,2,2,3,1,11,"On 06-10-2021, a case of Cryptocurrency Crime was reported at Kadri PS, Dakshina Kannada district. Investigation taken up under IT Act."
85,100050554202300024,202300024,2023-08-06,72,49,1,2,2,4,4,5,"On 05-08-2023, a case of Cyber Crime was reported at Indiranagar PS, Bengaluru Urban district. Investigation taken up under IT Act."
86,100200787202300025,202300025,2023-09-26,73,19,1,1,3,6,1,21,"On 24-09-2023, a case of Money Laundering was reported at Koppal Town PS, Koppal district. Investigation taken up under PMLA."
87,100220611202600009,202600009,2026-01-20,74,50,1,1,3,6,4,23,"On 19-01-2026, a case of Money Laundering was reported at Devaraja PS, Mysuru district. Investigation taken up under PMLA."
88,100130693202100016,202100016,2021-11-26,75,11,1,1,2,5,3,13,"On 26-11-2021, a case of Dark Web Crime was reported at Dharwad Rural PS, Dharwad district. Investigation taken up under IT Act."
89,100030630202200012,202200012,2022-05-15,76,51,1,1,2,5,2,3,"On 13-05-2022, a case of Dark Web Crime was reported at Market PS, Belagavi district. Investigation taken up under IT Act."
90,100200787202600010,202600010,2026-01-15,77,19,1,2,2,4,4,21,"On 14-01-2026, a case of Cyber Crime was reported at Koppal Town PS, Koppal district. Investigation taken up under IT Act."
91,100060803202200013,202200013,2022-09-05,78,47,1,2,2,3,1,6,"On 05-09-2022, a case of Cryptocurrency Crime was reported at Bidar Rural PS, Bidar district. Investigation taken up under IT Act."
92,100050554202300026,202300026,2023-01-12,79,49,1,2,2,4,3,5,"On 12-01-2023, a case of Cyber Crime was reported at Indiranagar PS, Bengaluru Urban district. Investigation taken up under IT Act."
93,100280205202500019,202500019,2025-02-15,80,35,1,1,3,6,3,29,"On 14-02-2025, a case of Money Laundering was reported at Uttara Kannada Rural PS, Uttara Kannada district. Investigation taken up under PMLA."
94,100190539202300027,202300027,2023-06-28,54,5,1,2,5,8,1,20,"On 27-06-2023, a case of Theft was reported at Kolar Town PS, Kolar district. Investigation taken up under IPC."
95,100140936202300028,202300028,2023-07-15,81,29,1,2,2,4,3,17,"On 14-07-2023, a case of Cyber Crime was reported at Gadag Town PS, Gadag district. Investigation taken up under IT Act."
96,200230673202600011,202600011,2026-05-21,82,16,2,2,2,4,3,24,"On 20-05-2026, a case of Cyber Crime was reported at Raichur Rural PS, Raichur district. Investigation taken up under IT Act."
97,300310477202300029,202300029,2023-05-14,22,20,3,1,2,5,4,17,"On 12-05-2023, a case of Dark Web Crime was reported at Yadgir Rural PS, Yadgir district. Investigation taken up under IT Act."
98,100210163202400010,202400010,2024-11-06,83,31,1,2,2,3,2,17,"On 05-11-2024, a case of Cryptocurrency Crime was reported at Mandya Rural PS, Mandya district. Investigation taken up under IT Act."
99,100110153202400011,202400011,2024-11-20,84,52,1,1,2,5,2,11,"On 19-11-2024, a case of Dark Web Crime was reported at Mangaluru North PS, Dakshina Kannada district. Investigation taken up under IT Act."
100,100120469202400012,202400012,2024-03-03,85,37,1,1,2,5,3,12,"On 01-03-2024, a case of Dark Web Crime was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under IT Act."
101,100170489202100017,202100017,2021-01-26,86,22,1,1,2,5,3,18,"On 26-01-2021, a case of Dark Web Crime was reported at Kalaburagi Rural PS, Kalaburagi district. Investigation taken up under IT Act."
102,100120469202400013,202400013,2024-04-04,85,37,1,1,4,7,2,17,"On 04-04-2024, a case of Drug Offence was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under NDPS."
103,100140846202100018,202100018,2021-09-27,87,6,1,2,5,8,3,14,"On 27-09-2021, a case of Theft was reported at Gadag Rural PS, Gadag district. Investigation taken up under IPC."
104,100200781202100019,202100019,2021-08-17,88,53,1,1,3,6,3,21,"On 15-08-2021, a case of Money Laundering was reported at Koppal Rural PS, Koppal district. Investigation taken up under PMLA."
105,300090807202200014,202200014,2022-01-09,89,54,3,2,2,4,4,9,"On 07-01-2022, a case of Cyber Crime was reported at Chikkamagaluru Town PS, Chikkamagaluru district. Investigation taken up under IT Act."
106,100090807202300030,202300030,2023-11-09,90,54,1,2,2,4,1,9,"On 07-11-2023, a case of Cyber Crime was reported at Chikkamagaluru Town PS, Chikkamagaluru district. Investigation taken up under IT Act."
107,200220611202500020,202500020,2025-04-30,91,50,2,2,2,4,4,23,"On 30-04-2025, a case of Cyber Crime was reported at Devaraja PS, Mysuru district. Investigation taken up under IT Act."
108,100240993202100020,202100020,2021-08-31,56,12,1,2,2,4,1,25,"On 30-08-2021, a case of Cyber Crime was reported at Ramanagara Rural PS, Ramanagara district. Investigation taken up under IT Act."
109,100120469202500021,202500021,2025-08-26,85,37,1,2,5,8,3,12,"On 26-08-2025, a case of Theft was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under IPC."
110,200240993202200015,202200015,2022-10-01,92,12,2,1,3,6,1,17,"On 30-09-2022, a case of Money Laundering was reported at Ramanagara Rural PS, Ramanagara district. Investigation taken up under PMLA."
111,100210163202600012,202600012,2026-01-14,93,31,1,2,2,3,1,17,"On 13-01-2026, a case of Cryptocurrency Crime was reported at Mandya Rural PS, Mandya district. Investigation taken up under IT Act."
112,100030872202300031,202300031,2023-04-04,94,55,1,2,2,3,3,3,"On 04-04-2023, a case of Cryptocurrency Crime was reported at Khadebazar PS, Belagavi district. Investigation taken up under IT Act."
113,100170645202100021,202100021,2021-07-22,95,56,1,2,2,4,4,17,"On 20-07-2021, a case of Cyber Crime was reported at Kalaburagi Town PS, Kalaburagi district. Investigation taken up under IT Act."
114,100300393202500022,202500022,2025-03-23,96,26,1,2,2,3,1,31,"On 22-03-2025, a case of Cryptocurrency Crime was reported at Vijayapura Rural PS, Vijayapura district. Investigation taken up under IT Act."
115,100210438202400014,202400014,2024-01-23,97,1,1,1,1,2,1,22,"On 21-01-2024, a case of Murder was reported at Mandya Town PS, Mandya district. Investigation taken up under IPC."
116,100080234202500023,202500023,2025-07-19,8,8,1,2,2,3,4,8,"On 17-07-2025, a case of Cryptocurrency Crime was reported at Chikkaballapur Town PS, Chikkaballapur district. Investigation taken up under IT Act."
117,300110371202100022,202100022,2021-03-31,98,48,3,1,3,6,2,11,"On 29-03-2021, a case of Money Laundering was reported at Kadri PS, Dakshina Kannada district. Investigation taken up under PMLA."
118,100100777202100023,202100023,2021-04-29,14,9,1,2,2,3,1,17,"On 28-04-2021, a case of Cryptocurrency Crime was reported at Chitradurga Town PS, Chitradurga district. Investigation taken up under IT Act."
119,100310672202400015,202400015,2024-05-14,25,23,1,1,1,1,3,32,"On 14-05-2024, a case of Kidnapping was reported at Yadgir Town PS, Yadgir district. Investigation taken up under IPC."
120,100220389202300032,202300032,2023-09-22,99,57,1,2,2,3,4,23,"On 20-09-2023, a case of Cryptocurrency Crime was reported at Krishnaraja PS, Mysuru district. Investigation taken up under IT Act."
121,100150739202300033,202300033,2023-03-23,100,58,1,2,2,4,3,15,"On 23-03-2023, a case of Cyber Crime was reported at Hassan Rural PS, Hassan district. Investigation taken up under IT Act."
122,100310672202400016,202400016,2024-09-11,101,23,1,1,3,6,3,32,"On 11-09-2024, a case of Money Laundering was reported at Yadgir Town PS, Yadgir district. Investigation taken up under PMLA."
123,100040121202500024,202500024,2025-11-13,102,42,1,2,2,3,3,17,"On 12-11-2025, a case of Cryptocurrency Crime was reported at Bengaluru Rural Town PS, Bengaluru Rural district. Investigation taken up under IT Act."
124,100260152202500025,202500025,2025-03-01,103,38,1,2,2,3,1,27,"On 28-02-2025, a case of Cryptocurrency Crime was reported at Tumakuru Rural PS, Tumakuru district. Investigation taken up under IT Act."
125,100220999202600013,202600013,2026-01-08,45,36,1,1,3,6,4,23,"On 07-01-2026, a case of Money Laundering was reported at Narasimharaja PS, Mysuru district. Investigation taken up under PMLA."
126,100200787202400017,202400017,2024-10-27,21,19,1,2,2,4,4,17,"On 27-10-2024, a case of Cyber Crime was reported at Koppal Town PS, Koppal district. Investigation taken up under IT Act."
127,200300609202400018,202400018,2024-04-21,104,33,2,2,2,3,3,31,"On 20-04-2024, a case of Cryptocurrency Crime was reported at Vijayapura Town PS, Vijayapura district. Investigation taken up under IT Act."
128,100300609202300034,202300034,2023-06-10,104,33,1,1,2,5,4,31,"On 08-06-2023, a case of Dark Web Crime was reported at Vijayapura Town PS, Vijayapura district. Investigation taken up under IT Act."
129,100290606202100024,202100024,2021-06-04,105,27,1,1,3,6,2,17,"On 03-06-2021, a case of Money Laundering was reported at Vijayanagara Rural PS, Vijayanagara district. Investigation taken up under PMLA."
130,100050554202300035,202300035,2023-09-26,106,49,1,1,3,6,1,17,"On 24-09-2023, a case of Money Laundering was reported at Indiranagar PS, Bengaluru Urban district. Investigation taken up under PMLA."
131,100010440202400019,202400019,2024-03-04,107,59,1,2,5,8,3,1,"On 03-03-2024, a case of Theft was reported at Bagalkot Town PS, Bagalkot district. Investigation taken up under IPC."
132,100060763202600014,202600014,2026-07-07,108,43,1,2,2,4,3,17,"On 05-07-2026, a case of Cyber Crime was reported at Bidar Town PS, Bidar district. Investigation taken up under IT Act."
133,100100522202400020,202400020,2024-03-16,109,18,1,2,5,8,3,10,"On 15-03-2024, a case of Theft was reported at Chitradurga Rural PS, Chitradurga district. Investigation taken up under IPC."
134,100270523202600015,202600015,2026-07-06,110,10,1,2,2,4,3,17,"On 05-07-2026, a case of Cyber Crime was reported at Udupi Rural PS, Udupi district. Investigation taken up under IT Act."
135,100260152202300036,202300036,2023-09-21,48,38,1,2,2,4,3,27,"On 20-09-2023, a case of Cyber Crime was reported at Tumakuru Rural PS, Tumakuru district. Investigation taken up under IT Act."
136,100310477202300037,202300037,2023-07-23,64,20,1,2,2,4,1,32,"On 22-07-2023, a case of Cyber Crime was reported at Yadgir Rural PS, Yadgir district. Investigation taken up under IT Act."
137,100080382202300038,202300038,2023-10-28,111,13,1,2,2,3,3,8,"On 27-10-2023, a case of Cryptocurrency Crime was reported at Chikkaballapur Rural PS, Chikkaballapur district. Investigation taken up under IT Act."
138,100170645202500026,202500026,2025-07-06,112,56,1,2,2,4,4,18,"On 05-07-2025, a case of Cyber Crime was reported at Kalaburagi Town PS, Kalaburagi district. Investigation taken up under IT Act."
139,100050554202100025,202100025,2021-09-09,72,49,1,2,2,4,2,5,"On 09-09-2021, a case of Cyber Crime was reported at Indiranagar PS, Bengaluru Urban district. Investigation taken up under IT Act."
140,100140846202400021,202400021,2024-08-26,6,6,1,2,5,8,3,14,"On 25-08-2024, a case of Theft was reported at Gadag Rural PS, Gadag district. Investigation taken up under IPC."
141,100170489202100026,202100026,2021-07-22,51,22,1,1,2,5,2,18,"On 22-07-2021, a case of Dark Web Crime was reported at Kalaburagi Rural PS, Kalaburagi district. Investigation taken up under IT Act."
142,300290606202200016,202200016,2022-08-10,29,27,3,1,3,6,3,17,"On 09-08-2022, a case of Money Laundering was reported at Vijayanagara Rural PS, Vijayanagara district. Investigation taken up under PMLA."
143,100020891202100027,202100027,2021-12-02,113,4,1,2,2,3,1,2,"On 02-12-2021, a case of Cryptocurrency Crime was reported at Ballari Town PS, Ballari district. Investigation taken up under IT Act."
144,100040173202600016,202600016,2026-02-26,114,2,1,2,2,4,4,17,"On 25-02-2026, a case of Cyber Crime was reported at Bengaluru Rural Rural PS, Bengaluru Rural district. Investigation taken up under IT Act."
145,100170645202400022,202400022,2024-06-27,115,56,1,2,2,4,1,18,"On 27-06-2024, a case of Cyber Crime was reported at Kalaburagi Town PS, Kalaburagi district. Investigation taken up under IT Act."
146,100210438202300039,202300039,2023-07-10,97,1,1,1,2,5,3,17,"On 09-07-2023, a case of Dark Web Crime was reported at Mandya Town PS, Mandya district. Investigation taken up under IT Act."
147,100120469202100028,202100028,2021-12-21,85,37,1,2,2,3,3,12,"On 20-12-2021, a case of Cryptocurrency Crime was reported at Davanagere Rural PS, Davanagere district. Investigation taken up under IT Act."
148,100060763202600017,202600017,2026-01-11,116,43,1,2,2,3,1,6,"On 10-01-2026, a case of Cryptocurrency Crime was reported at Bidar Town PS, Bidar district. Investigation taken up under IT Act."
