ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
68,157,1,2024-11-14T07:37:22,1,31,20,123,32,272,1,
69,158,1,2022-03-03T22:43:15,1,23,16,124,24,273,1,
70,160,2,2024-11-20T19:53:32,1,18,15,125,19,277,1,
71,166,1,2022-06-10T12:51:40,1,11,52,126,11,285,1,
72,169,1,2024-10-03T21:29:56,1,20,19,73,21,291,1,
73,172,2,2025-09-11T11:37:59,1,12,37,46,12,296,1,
74,177,1,2022-04-17T05:44:12,1,3,61,130,3,306,1,
75,178,1,2025-06-03T18:31:18,1,6,47,132,6,308,1,
76,180,2,2025-04-26T02:56:45,1,20,19,134,17,313,1,
77,181,2,2023-01-01T15:25:02,1,5,49,106,5,316,1,
78,182,1,2024-06-12T09:59:09,1,19,62,135,20,320,1,
79,184,2,2021-02-17T01:37:31,1,6,47,78,6,322,1,
80,186,1,2024-07-04T05:09:28,1,1,28,43,1,324,1,
81,189,1,2025-08-23T14:13:26,1,22,21,139,23,328,1,
82,190,2,2021-02-10T23:44:13,1,23,16,124,24,332,1,
83,194,1,2021-09-11T05:03:34,1,5,65,141,5,338,1,
84,195,2,2022-12-21T14:01:11,1,21,31,142,17,339,1,
85,196,2,2025-02-21T01:33:08,1,21,31,142,22,342,1,
86,205,2,2022-09-08T09:32:09,1,26,38,103,27,356,1,
87,207,1,2023-01-17T20:12:58,1,20,53,149,21,358,1,
88,210,2,2021-11-14T16:44:11,1,3,55,150,3,363,1,
89,214,2,2024-02-19T03:41:03,1,5,65,141,5,368,1,
90,215,1,2025-11-03T23:57:31,1,2,66,153,2,369,1,
91,219,2,2024-12-18T14:59:28,1,16,67,155,16,377,1,
92,222,1,2026-03-26T12:27:42,1,24,12,152,25,383,1,
93,225,1,2021-09-12T05:07:02,1,22,50,157,23,387,1,
94,226,1,2023-10-09T15:58:24,1,30,26,96,31,391,1,
95,228,2,2024-08-11T05:03:49,1,10,18,19,10,393,1,
96,232,1,2023-01-17T15:29:44,1,16,67,159,16,400,1,
97,233,2,2022-04-02T18:54:06,1,2,66,160,2,401,1,
98,234,1,2024-02-21T07:31:40,1,3,61,161,3,404,1,
99,235,1,2026-03-13T11:44:39,1,16,17,20,16,405,1,
100,238,1,2023-11-07T18:58:19,1,27,3,3,28,408,1,
101,239,2,2025-08-02T12:31:02,1,19,62,135,20,410,1,
102,242,1,2024-12-09T02:59:28,1,5,65,163,17,417,1,
103,243,1,2022-09-25T21:30:10,1,29,14,164,30,418,1,
104,244,2,2024-10-24T17:45:56,1,10,18,59,10,420,1,
105,247,1,2025-12-04T20:07:00,1,10,18,59,10,425,1,
106,248,1,2025-11-11T04:19:55,1,27,10,166,28,428,1,
107,250,2,2022-10-02T20:14:47,1,19,62,168,20,433,1,
108,254,1,2025-07-04T05:49:44,1,31,23,31,32,437,1,
109,259,1,2025-07-17T15:06:12,1,22,50,172,23,446,1,
110,261,2,2022-07-30T06:38:41,1,7,70,173,17,448,1,
111,262,1,2023-03-18T00:39:56,1,13,11,120,13,450,1,
112,263,2,2021-03-15T17:12:14,1,19,62,174,20,451,1,
113,268,2,2022-03-21T15:45:03,1,30,33,104,31,460,1,
114,269,1,2025-04-02T05:42:20,1,3,51,177,3,461,1,
115,271,2,2025-03-01T23:55:36,1,13,45,62,13,463,1,
116,273,2,2026-05-07T22:33:34,1,25,69,179,17,467,1,
117,276,1,2025-09-18T23:26:51,1,29,14,15,30,475,1,
118,279,1,2024-06-20T09:51:37,1,15,58,128,15,478,1,
119,280,2,2021-06-14T05:47:05,1,30,33,39,17,479,1,
120,281,2,2024-01-12T05:05:17,1,25,69,170,17,481,1,
121,283,2,2024-07-29T14:13:27,1,21,1,97,22,485,1,
122,285,1,2021-06-01T23:21:20,1,16,17,20,16,487,1,
123,289,2,2026-03-21T00:02:26,1,3,61,183,3,492,1,
124,290,1,2022-04-15T19:38:55,1,30,26,96,31,494,1,
125,291,2,2024-07-17T10:31:38,1,26,38,48,27,496,1,
126,292,1,2023-08-13T20:13:21,1,10,18,19,10,498,1,
127,294,1,2024-03-18T10:58:27,1,9,25,184,9,500,1,
128,296,1,2024-02-06T18:39:01,1,22,36,185,17,503,1,
129,297,1,2026-04-02T06:32:00,1,27,3,165,28,504,1,
130,298,1,2022-02-07T18:38:49,1,24,64,146,25,506,1,
131,299,2,2022-01-13T14:28:58,1,26,34,40,17,508,1,
132,301,2,2021-12-10T09:41:42,1,23,24,26,24,511,1,
133,302,2,2025-09-30T17:57:45,1,27,10,10,28,513,1,
134,303,2,2022-04-07T12:15:36,1,22,50,172,17,514,1,
135,306,1,2022-10-01T04:07:22,1,3,40,187,3,518,1,
136,307,2,2025-03-07T19:16:24,1,5,49,106,5,521,1,
137,309,2,2022-01-04T02:35:55,1,23,24,147,17,525,1,
138,310,2,2025-04-04T01:58:38,1,4,42,102,4,526,1,
139,314,1,2025-06-21T15:14:34,1,18,46,189,19,530,1,
140,316,1,2021-06-26T03:30:01,1,2,66,160,2,536,1,
141,318,2,2023-03-14T16:25:25,1,9,25,180,9,538,1,
142,320,2,2022-10-30T02:33:13,1,30,33,39,31,542,1,
143,321,1,2023-03-28T00:20:20,1,27,3,165,28,543,1,
144,323,1,2025-10-06T23:00:50,1,8,8,191,8,549,1,
145,330,1,2021-05-16T16:39:01,1,14,29,50,14,563,1,
146,331,1,2021-09-06T01:16:02,1,25,69,179,26,564,1,
147,336,2,2025-06-25T23:34:14,1,29,27,105,17,575,1,
148,337,2,2021-03-02T13:04:54,1,19,5,5,20,576,1,
149,338,2,2023-04-03T12:07:36,1,6,43,195,17,577,1,
150,340,1,2023-08-07T04:03:45,1,27,3,3,17,579,1,
151,343,1,2023-12-01T15:04:49,1,8,8,196,8,586,1,
152,344,1,2026-02-27T06:55:11,1,6,43,108,6,589,1,
153,347,1,2023-07-11T19:16:07,1,12,30,186,12,595,1,
154,356,1,2024-08-03T18:59:00,1,15,58,198,15,613,1,
155,357,2,2024-07-02T20:54:19,1,12,30,186,17,614,1,
156,360,2,2023-05-19T00:35:10,1,18,15,201,19,619,1,
157,362,1,2023-03-14T08:33:58,1,28,35,202,29,624,1,
158,364,1,2025-10-04T18:59:07,1,18,15,16,19,630,1,
159,365,1,2021-01-08T23:29:02,1,31,20,203,32,632,1,
160,366,1,2025-10-05T02:05:15,1,13,45,204,13,633,1,
161,367,1,2023-11-03T08:32:51,1,7,7,7,17,634,1,
162,369,1,2023-05-30T04:42:40,1,31,20,22,17,640,1,
163,372,1,2024-08-25T10:19:42,1,29,14,205,30,646,1,
164,374,2,2026-03-14T15:58:24,1,15,44,206,17,650,1,
165,375,1,2026-04-18T05:15:42,1,13,11,75,13,651,1,
166,376,1,2026-04-18T09:59:51,1,12,37,46,17,652,1,
167,377,1,2023-12-09T08:30:03,1,16,17,18,16,653,1,
168,378,1,2025-01-26T21:37:52,1,11,71,207,11,654,1,
169,379,1,2023-11-09T23:33:28,1,7,70,208,7,657,1,
170,382,1,2026-04-01T11:22:39,1,21,1,209,22,664,1,
171,384,2,2022-11-17T06:03:56,1,26,34,211,27,666,1,
172,385,1,2026-01-04T13:22:46,1,15,58,128,15,667,1,
173,386,2,2023-07-15T09:50:25,1,3,61,183,17,668,1,
174,388,2,2022-12-17T00:28:56,1,17,56,112,18,670,1,
175,390,2,2026-01-02T03:32:37,1,18,46,212,19,672,1,
176,392,1,2022-10-06T11:26:32,1,31,20,123,32,676,1,
177,393,2,2022-10-09T02:14:30,1,16,67,159,16,677,1,
178,394,2,2023-11-03T03:55:29,1,20,19,134,17,679,1,
179,397,1,2022-03-02T19:43:44,1,1,28,43,1,686,1,
180,401,2,2022-10-15T13:56:06,1,21,1,1,22,691,1,
181,405,1,2026-02-11T03:43:05,1,21,1,209,22,697,1,
182,407,1,2025-05-12T16:19:01,1,30,33,216,31,702,1,
183,409,2,2022-07-16T22:05:27,1,20,19,134,21,705,1,
184,415,2,2022-08-02T17:44:06,1,5,65,218,5,713,1,
185,416,1,2021-09-25T14:46:54,1,6,43,60,6,714,1,
186,417,2,2026-02-18T03:48:38,1,7,70,208,7,715,1,
187,419,1,2021-06-09T03:41:11,1,11,52,219,11,719,1,
188,423,2,2024-09-30T05:16:01,1,24,12,152,17,724,1,
189,425,2,2024-05-15T15:37:40,1,20,19,21,17,726,1,
190,426,2,2025-11-25T23:27:02,1,23,24,147,24,727,1,
191,429,1,2024-03-29T18:02:04,1,24,64,146,25,733,1,
192,430,2,2024-06-01T03:58:47,1,2,4,4,2,735,1,
193,435,1,2024-10-19T20:39:40,1,29,27,182,30,743,1,
194,438,2,2021-07-29T15:17:11,1,18,15,201,19,748,1,
195,440,2,2026-01-28T22:50:39,1,28,35,202,29,753,1,
196,444,2,2024-10-30T17:55:14,1,20,19,134,21,762,1,
197,448,1,2021-01-28T23:14:28,1,5,49,106,17,769,1,
198,453,1,2026-07-03T06:39:45,1,16,67,159,16,775,1,
199,458,1,2022-08-20T23:39:44,1,2,4,113,2,782,1,
200,459,2,2022-11-22T11:28:02,1,15,58,100,15,783,1,
201,460,2,2022-01-07T17:22:11,1,8,8,196,8,784,1,
202,461,1,2022-11-28T00:40:17,1,27,3,53,28,785,1,
203,462,1,2025-12-23T05:59:46,1,11,48,71,11,787,1,
204,463,1,2026-03-08T15:29:57,1,29,14,223,30,788,1,
205,465,2,2022-01-21T12:10:33,1,23,16,82,17,794,1,
206,469,1,2023-02-16T03:14:19,1,14,6,87,14,805,1,
207,476,1,2025-08-25T19:13:50,1,8,13,63,8,818,1,
208,477,1,2024-01-18T20:41:15,1,3,61,183,3,820,1,
209,479,1,2022-02-28T09:48:01,1,17,22,24,18,825,1,
210,480,2,2025-04-04T07:35:40,1,25,63,227,17,827,1,
211,483,2,2024-01-01T08:42:01,1,13,11,120,13,831,1,
212,485,1,2022-11-02T04:03:08,1,16,67,155,16,834,1,
213,487,1,2025-12-17T17:17:35,1,7,70,173,7,836,1,
214,488,2,2022-11-22T18:41:42,1,19,5,54,20,837,1,
215,490,1,2023-06-14T16:31:42,1,10,18,59,10,842,1,
216,491,1,2024-04-10T12:22:18,1,8,13,13,17,845,1,
217,494,2,2023-10-03T22:13:55,1,13,11,11,13,851,1,
218,498,1,2023-12-20T02:04:06,1,2,4,67,2,856,1,
219,501,2,2026-02-10T11:34:16,1,29,27,230,30,861,1,
220,503,1,2025-11-09T22:34:27,1,11,71,181,11,863,1,
221,504,2,2021-05-27T12:03:09,1,26,38,103,27,865,1,
222,505,2,2021-04-30T09:31:51,1,10,9,14,10,866,1,
223,506,1,2022-11-28T00:43:16,1,31,23,31,32,870,1,
224,508,2,2022-01-23T14:48:54,1,29,27,230,30,872,1,
225,509,2,2022-10-23T20:55:33,1,16,67,192,16,876,1,
226,510,2,2022-08-10T16:49:37,1,17,56,112,18,877,1,
227,512,2,2026-03-16T16:36:57,1,6,47,69,6,882,1,
228,515,1,2021-02-05T04:48:36,1,3,55,150,3,887,1,
229,517,1,2023-05-02T01:59:40,1,28,35,80,17,890,1,
230,519,1,2024-11-24T16:19:20,1,11,52,84,11,894,1,
231,520,1,2023-06-04T21:17:57,1,15,44,158,15,896,1,
232,521,2,2022-09-13T19:03:32,1,23,16,231,24,897,1,
233,526,1,2021-07-26T02:24:22,1,19,62,234,20,904,1,
234,530,2,2026-07-06T01:48:45,1,1,28,43,1,913,1,
235,531,1,2022-05-03T03:24:16,1,17,56,235,18,915,1,
236,532,2,2023-10-11T10:54:13,1,17,22,51,18,916,1,
237,533,1,2021-05-05T06:06:31,1,2,66,160,2,920,1,
238,539,1,2021-08-19T11:28:42,1,31,23,25,17,929,1,
239,540,1,2026-03-10T11:07:21,1,1,59,162,17,930,1,
240,541,2,2022-08-27T19:15:53,1,29,27,29,17,931,1,
241,542,2,2022-02-16T02:20:39,1,12,30,33,12,935,1,
242,543,1,2025-06-30T17:20:59,1,25,63,236,17,936,1,
243,545,2,2021-09-22T06:16:37,1,9,25,222,9,938,1,
244,548,2,2021-03-01T00:09:27,1,15,44,158,15,942,1,
245,549,1,2024-12-19T20:13:20,1,28,32,239,29,943,1,
246,552,2,2024-10-27T06:04:20,1,4,42,200,4,946,1,
247,555,1,2025-01-18T21:24:52,1,17,56,240,18,954,1,
248,557,1,2026-01-06T03:31:04,1,30,33,138,31,956,1,
249,559,1,2024-04-22T18:53:13,1,5,41,241,5,959,1,
250,560,1,2024-09-24T22:24:43,1,30,26,96,31,960,1,
251,562,1,2022-10-26T23:29:26,1,5,60,242,5,963,1,
252,565,1,2021-09-14T06:40:06,1,22,50,157,23,968,1,
253,566,1,2026-05-13T13:45:49,1,27,3,165,28,970,1,
254,567,2,2022-11-13T15:05:43,1,29,14,15,30,971,1,
255,569,2,2025-03-15T22:29:06,1,13,45,171,13,976,1,
256,572,1,2022-12-29T23:25:03,1,6,47,69,6,979,1,
257,573,1,2021-03-21T00:47:26,1,6,47,78,17,980,1,
258,579,2,2025-09-26T17:25:35,1,15,58,198,15,990,1,
259,581,1,2024-03-14T01:39:11,1,17,56,240,18,993,1,
260,582,2,2022-08-14T23:01:11,1,3,51,244,3,995,1,
261,583,2,2026-05-06T08:09:53,1,19,62,234,20,997,1,
262,585,1,2025-04-10T22:40:19,1,16,17,20,16,1001,1,
263,586,2,2024-10-12T00:34:25,1,5,39,245,5,1002,1,
264,587,2,2021-02-12T08:47:37,1,12,30,186,17,1004,1,
265,588,2,2025-01-05T11:05:04,1,27,3,165,28,1007,1,
266,593,2,2021-07-01T14:58:07,1,24,64,190,25,1014,1,
267,594,2,2025-12-17T21:42:49,1,3,40,119,3,1015,1,
268,595,2,2025-05-30T06:22:04,1,11,48,71,11,1016,1,
269,596,2,2024-01-25T17:45:11,1,11,52,246,11,1020,1,
270,600,2,2025-01-10T10:41:02,1,22,21,225,23,1026,1,
271,603,2,2021-02-21T20:31:26,1,22,50,214,23,1032,1,
272,609,1,2022-01-06T06:18:32,1,9,54,143,9,1041,1,
273,610,2,2022-08-01T22:45:21,1,9,54,143,9,1042,1,
274,611,2,2025-02-01T16:31:16,1,21,31,83,22,1045,1,
275,614,2,2026-02-15T16:12:35,1,12,30,33,12,1050,1,
276,616,1,2023-10-14T11:16:15,1,3,40,248,3,1054,1,
277,617,1,2025-01-17T12:27:51,1,24,64,146,17,1055,1,
278,618,1,2021-01-25T12:15:25,1,8,13,136,8,1056,1,
279,620,2,2024-02-24T08:34:27,1,25,69,249,26,1058,1,
280,622,2,2026-03-16T07:42:42,1,24,64,146,17,1063,1,
281,625,2,2022-09-25T00:43:48,1,27,3,165,28,1066,1,
282,626,1,2023-03-11T14:07:03,1,19,5,54,20,1067,1,
283,627,2,2023-02-05T11:31:44,1,2,4,4,2,1068,1,
284,628,1,2024-10-16T23:45:56,1,1,28,43,1,1070,1,
285,630,1,2021-12-10T09:07:55,1,22,57,251,23,1075,1,
286,636,2,2025-09-02T23:20:32,1,8,13,13,8,1086,1,
287,638,1,2025-03-17T03:53:07,1,2,66,153,2,1091,1,
288,640,1,2023-10-23T00:29:54,1,28,32,175,29,1095,1,
289,643,1,2022-07-08T14:09:44,1,27,3,3,28,1099,1,
290,644,1,2024-06-08T00:09:13,1,1,28,30,17,1102,1,
291,648,1,2025-08-01T22:16:50,1,16,17,20,16,1110,1,
292,649,1,2021-09-21T15:27:16,1,5,65,253,5,1112,1,
293,650,2,2021-05-03T09:01:26,1,12,30,186,12,1113,1,
294,651,2,2026-05-17T21:13:59,1,28,35,221,29,1114,1,
295,654,2,2025-07-21T08:32:30,1,12,30,186,12,1120,1,
296,661,1,2021-11-24T22:13:32,1,8,13,121,8,1136,1,
297,662,2,2021-05-06T14:32:39,1,12,37,46,12,1137,1,
298,664,1,2023-12-23T08:57:43,1,25,63,210,17,1140,1,
299,666,1,2024-06-01T07:53:08,1,30,26,226,31,1143,1,
300,667,1,2021-05-15T04:14:36,1,11,71,181,11,1144,1,
301,668,2,2025-02-23T16:28:04,1,8,8,196,8,1145,1,
302,674,2,2026-07-26T14:17:47,1,6,43,254,6,1156,1,
303,676,2,2025-07-06T23:07:09,1,4,42,58,4,1159,1,
304,678,2,2025-06-07T04:19:51,1,12,30,186,12,1162,1,
305,681,2,2023-08-19T04:22:37,1,11,68,169,17,1167,1,
306,687,1,2024-05-24T11:20:36,1,9,54,90,9,1178,1,
307,691,2,2023-01-13T00:05:57,1,5,60,242,5,1182,1,
308,693,1,2023-08-02T18:00:28,1,24,64,140,25,1187,1,
309,696,1,2025-10-18T17:27:52,1,19,5,178,20,1193,1,
310,699,2,2022-01-03T14:46:00,1,23,16,231,24,1198,1,
311,700,1,2024-03-04T22:49:32,1,29,27,47,30,1200,1,
312,701,2,2026-04-19T04:24:20,1,26,38,68,27,1201,1,
313,703,1,2023-12-11T21:57:50,1,12,37,46,12,1204,1,
314,705,2,2021-10-19T03:56:13,1,30,33,216,31,1211,1,
315,706,1,2022-08-05T14:13:11,1,10,9,14,17,1212,1,
316,707,1,2025-05-07T21:53:39,1,13,11,75,13,1213,1,
317,708,2,2026-01-18T06:47:39,1,24,64,190,25,1216,1,
318,709,2,2022-06-26T18:20:57,1,7,70,173,7,1217,1,
319,710,2,2022-07-06T09:24:25,1,12,30,33,12,1221,1,
320,717,1,2022-08-23T07:50:25,1,11,71,207,11,1230,1,
321,729,1,2026-04-11T00:54:06,1,28,32,148,17,1247,1,
322,730,2,2023-07-22T07:57:54,1,9,25,184,9,1250,1,
323,731,2,2022-04-24T11:29:34,1,1,28,43,17,1253,1,
324,733,2,2024-02-18T15:24:06,1,23,24,147,24,1256,1,
325,739,1,2024-06-18T08:29:33,1,31,20,203,32,1264,1,
326,740,2,2024-01-20T20:11:51,1,31,23,25,32,1265,1,
327,741,1,2021-05-15T09:33:40,1,16,67,159,16,1269,1,
328,743,2,2023-06-27T19:20:30,1,10,9,9,10,1274,1,
329,746,2,2021-10-11T20:18:23,1,14,29,32,14,1277,1,
330,747,2,2024-07-16T10:35:00,1,26,34,151,17,1279,1,
331,750,1,2025-02-12T17:06:16,1,20,19,133,21,1285,1,
332,751,2,2024-02-28T03:29:33,1,29,14,228,30,1286,1,
333,753,2,2023-08-22T16:56:07,1,8,8,8,8,1288,1,
334,754,1,2023-07-06T04:54:57,1,19,5,54,20,1289,1,
335,755,2,2024-03-23T10:29:57,1,3,61,183,3,1290,1,
336,756,1,2025-03-15T07:12:32,1,2,66,153,2,1291,1,
337,758,2,2024-04-20T05:49:53,1,11,71,257,11,1295,1,
338,761,1,2024-04-08T04:23:58,1,23,16,231,24,1304,1,
339,763,2,2022-05-17T21:31:54,1,25,69,243,26,1306,1,
340,764,1,2021-10-20T20:13:23,1,17,56,235,18,1307,1,
341,767,2,2024-03-30T15:51:19,1,25,69,243,26,1312,1,
342,772,2,2025-10-14T23:11:37,1,4,42,200,4,1319,1,
343,773,1,2022-04-30T10:06:49,1,25,69,243,26,1320,1,
344,775,2,2022-11-23T03:51:59,1,24,12,92,17,1323,1,
345,776,2,2022-12-11T20:36:42,1,22,36,258,23,1325,1,
346,777,2,2024-06-07T20:01:46,1,23,16,17,24,1329,1,
347,780,1,2022-02-21T17:14:10,1,16,67,155,16,1332,1,
348,781,2,2021-12-05T16:38:58,1,29,27,230,30,1334,1,
349,782,1,2023-12-03T15:08:28,1,10,9,14,10,1335,1,
350,784,2,2025-01-22T09:27:28,1,30,26,226,17,1339,1,
351,785,2,2024-08-21T01:34:45,1,15,44,206,15,1340,1,
352,788,1,2023-06-11T22:47:20,1,10,18,19,10,1345,1,
353,789,2,2023-01-14T12:38:16,1,2,4,67,2,1349,1,
354,791,1,2023-03-17T23:16:55,1,1,59,107,1,1352,1,
355,795,2,2022-06-21T03:25:17,1,26,38,68,27,1357,1,
356,796,1,2021-04-26T13:39:02,1,12,30,127,17,1358,1,
357,798,1,2021-07-05T09:36:37,1,10,9,9,10,1361,1,
358,799,1,2021-10-19T13:16:04,1,11,71,207,11,1363,1,
359,803,2,2022-08-11T04:44:16,1,29,27,182,30,1370,1,
360,805,2,2022-11-23T01:22:28,1,3,40,263,17,1373,1,
361,808,1,2021-07-28T02:45:00,1,1,28,35,1,1377,1,
362,809,2,2024-04-20T08:29:10,1,25,69,179,17,1378,1,
363,811,2,2021-03-10T16:14:53,1,17,56,235,18,1380,1,
364,813,1,2024-07-06T05:38:37,1,19,5,54,20,1383,1,
365,814,1,2026-01-07T15:08:48,1,2,66,160,2,1384,1,
366,815,1,2025-03-07T13:27:09,1,9,54,90,9,1386,1,
367,817,1,2026-05-17T06:14:38,1,4,42,102,4,1388,1,
368,818,2,2024-07-28T16:34:59,1,7,70,264,7,1389,1,
369,821,1,2025-08-08T20:58:04,1,2,4,4,17,1393,1,
370,822,1,2022-04-06T11:25:25,1,21,1,1,22,1394,1,
371,824,1,2022-04-14T05:03:07,1,31,23,101,32,1396,1,
372,825,1,2024-03-28T00:29:21,1,17,56,115,17,1399,1,
373,826,2,2022-12-24T21:20:09,1,26,38,48,27,1401,1,
374,827,2,2026-06-07T03:51:49,1,26,34,151,27,1402,1,
375,828,2,2024-04-03T05:16:42,1,16,67,156,16,1404,1,
376,829,2,2024-03-03T02:11:45,1,8,13,63,8,1406,1,
377,831,1,2021-12-15T05:01:59,1,27,3,3,28,1411,1,
378,833,2,2026-02-04T01:58:28,1,2,4,4,2,1416,1,
379,834,1,2025-04-06T16:40:05,1,13,45,171,13,1418,1,
380,836,1,2021-08-15T15:37:59,1,3,61,176,3,1421,1,
381,837,2,2023-11-28T09:20:27,1,15,58,100,15,1423,1,
382,838,2,2021-10-28T05:11:07,1,14,29,70,14,1426,1,
383,840,2,2023-04-06T13:05:25,1,20,19,134,21,1430,1,
384,841,2,2026-06-30T00:47:43,1,2,4,4,2,1431,1,
385,845,2,2026-04-25T05:55:36,1,31,23,25,32,1437,1,
386,846,2,2021-03-01T03:50:24,1,8,8,196,8,1440,1,
387,848,2,2024-06-06T01:01:34,1,27,3,53,28,1445,1,
388,849,2,2025-04-16T18:27:26,1,2,4,67,2,1446,1,
389,855,1,2025-08-26T16:07:14,1,5,39,266,17,1456,1,
390,856,1,2021-06-20T13:31:08,1,14,6,247,14,1459,1,
391,857,1,2026-01-08T10:30:24,1,21,1,97,22,1461,1,
392,858,2,2023-11-23T03:14:51,1,11,68,267,11,1465,1,
393,863,1,2026-03-26T20:45:42,1,5,49,268,5,1473,1,
394,866,1,2021-06-17T21:51:28,1,26,34,269,27,1478,1,
395,867,2,2023-02-09T14:40:39,1,10,9,262,10,1482,1,
396,875,2,2021-07-10T22:19:11,1,26,38,103,27,1495,1,
397,880,2,2026-03-16T07:49:35,1,3,55,265,3,1508,1,
398,881,2,2025-06-01T17:40:50,1,6,47,78,6,1510,1,
399,885,2,2023-09-23T16:07:07,1,23,24,215,24,1515,1,
400,887,1,2025-03-30T15:16:10,1,8,13,13,8,1517,1,
