CaseMasterID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,OccurrenceBriefFacts
49,2023-07-01T16:39:51,2023-07-01T17:39:51,2023-07-02T01:39:51,16.2654,77.3014,"Incident occurred near coordinates 16.2654, 77.3014 within the jurisdiction of Raichur Rural PS."
50,2024-05-27T19:47:07,2024-05-28T00:47:07,2024-05-29T03:47:07,13.2395,77.6178,"Incident occurred near coordinates 13.2395, 77.6178 within the jurisdiction of Bengaluru Rural Rural PS."
51,2021-04-19T02:47:57,2021-04-19T03:47:57,2021-04-19T08:47:57,12.2488,76.5612,"Incident occurred near coordinates 12.2488, 76.5612 within the jurisdiction of Narasimharaja PS."
52,2023-03-20T16:36:42,2023-03-20T21:36:42,2023-03-21T22:36:42,14.4306,75.8987,"Incident occurred near coordinates 14.4306, 75.8987 within the jurisdiction of Davanagere Rural PS."
53,2023-09-20T22:11:28,2023-09-21T03:11:28,2023-09-22T02:11:28,15.2299,76.4351,"Incident occurred near coordinates 15.2299, 76.4351 within the jurisdiction of Vijayanagara Rural PS."
54,2021-08-18T03:15:06,2021-08-18T04:15:06,2021-08-19T05:15:06,13.4099,77.1087,"Incident occurred near coordinates 13.4099, 77.1087 within the jurisdiction of Tumakuru Rural PS."
55,2026-04-25T04:32:34,2026-04-25T09:32:34,2026-04-26T21:32:34,13.0396,77.5435,"Incident occurred near coordinates 13.0396, 77.5435 within the jurisdiction of Whitefield PS."
56,2026-05-03T12:44:17,2026-05-03T16:44:17,2026-05-04T12:44:17,15.4157,75.6413,"Incident occurred near coordinates 15.4157, 75.6413 within the jurisdiction of Gadag Town PS."
57,2022-03-23T08:42:50,2022-03-23T10:42:50,2022-03-25T08:42:50,11.847,77.0056,"Incident occurred near coordinates 11.847, 77.0056 within the jurisdiction of Chamarajanagar Rural PS."
58,2025-11-30T19:28:03,2025-12-01T00:28:03,2025-12-01T17:28:03,14.7848,74.6717,"Incident occurred near coordinates 14.7848, 74.6717 within the jurisdiction of Uttara Kannada Town PS."
59,2022-10-31T10:19:50,2022-10-31T14:19:50,2022-11-01T09:19:50,17.4027,76.882,"Incident occurred near coordinates 17.4027, 76.882 within the jurisdiction of Kalaburagi Rural PS."
60,2023-09-17T15:19:14,2023-09-17T16:19:14,2023-09-18T21:19:14,15.8944,74.4737,"Incident occurred near coordinates 15.8944, 74.4737 within the jurisdiction of Tilakwadi PS."
61,2023-10-27T03:00:50,2023-10-27T08:00:50,2023-10-27T14:00:50,13.268,74.7985,"Incident occurred near coordinates 13.268, 74.7985 within the jurisdiction of Udupi Town PS."
62,2021-02-28T20:04:21,2021-02-28T23:04:21,2021-03-01T20:04:21,13.1985,78.1324,"Incident occurred near coordinates 13.1985, 78.1324 within the jurisdiction of Kolar Town PS."
63,2023-05-17T20:13:28,2023-05-18T00:13:28,2023-05-18T17:13:28,13.0277,77.6534,"Incident occurred near coordinates 13.0277, 77.6534 within the jurisdiction of Cubbon Park PS."
64,2022-01-14T15:35:30,2022-01-14T19:35:30,2022-01-16T15:35:30,12.6427,77.2471,"Incident occurred near coordinates 12.6427, 77.2471 within the jurisdiction of Ramanagara Rural PS."
65,2023-03-08T17:50:54,2023-03-08T22:50:54,2023-03-10T01:50:54,14.4391,75.943,"Incident occurred near coordinates 14.4391, 75.943 within the jurisdiction of Davanagere Rural PS."
66,2024-07-22T07:45:44,2024-07-22T13:45:44,2024-07-22T19:45:44,13.2254,77.6359,"Incident occurred near coordinates 13.2254, 77.6359 within the jurisdiction of Bengaluru Rural Town PS."
67,2025-08-15T23:25:13,2025-08-16T03:25:13,2025-08-17T08:25:13,14.1693,76.3872,"Incident occurred near coordinates 14.1693, 76.3872 within the jurisdiction of Chitradurga Rural PS."
68,2025-12-15T15:25:17,2025-12-15T20:25:17,2025-12-17T04:25:17,17.8645,77.4449,"Incident occurred near coordinates 17.8645, 77.4449 within the jurisdiction of Bidar Town PS."
69,2026-06-08T09:46:05,2026-06-08T11:46:05,2026-06-09T13:46:05,15.2637,76.4488,"Incident occurred near coordinates 15.2637, 76.4488 within the jurisdiction of Vijayanagara Rural PS."
70,2026-01-26T03:08:47,2026-01-26T09:08:47,2026-01-26T13:08:47,13.3377,74.7581,"Incident occurred near coordinates 13.3377, 74.7581 within the jurisdiction of Udupi Town PS."
71,2021-04-09T14:19:25,2021-04-09T16:19:25,2021-04-10T18:19:25,13.0167,76.022,"Incident occurred near coordinates 13.0167, 76.022 within the jurisdiction of Hassan Town PS."
72,2024-07-26T12:50:41,2024-07-26T16:50:41,2024-07-26T15:50:41,15.5285,75.0794,"Incident occurred near coordinates 15.5285, 75.0794 within the jurisdiction of Dharwad Town PS."
73,2025-06-08T11:17:45,2025-06-08T12:17:45,2025-06-09T16:17:45,13.3814,77.6548,"Incident occurred near coordinates 13.3814, 77.6548 within the jurisdiction of Chikkaballapur Rural PS."
74,2023-09-18T06:33:49,2023-09-18T11:33:49,2023-09-19T12:33:49,14.4256,75.9158,"Incident occurred near coordinates 14.4256, 75.9158 within the jurisdiction of Davanagere Rural PS."
75,2025-07-05T15:03:14,2025-07-05T16:03:14,2025-07-06T17:03:14,16.786,77.1536,"Incident occurred near coordinates 16.786, 77.1536 within the jurisdiction of Yadgir Rural PS."
76,2021-02-17T15:21:51,2021-02-17T16:21:51,2021-02-18T09:21:51,11.8547,76.9355,"Incident occurred near coordinates 11.8547, 76.9355 within the jurisdiction of Chamarajanagar Rural PS."
77,2022-09-02T13:07:11,2022-09-02T15:07:11,2022-09-03T07:07:11,12.3516,75.8227,"Incident occurred near coordinates 12.3516, 75.8227 within the jurisdiction of Kodagu Rural PS."
78,2022-03-04T04:06:40,2022-03-04T10:06:40,2022-03-05T22:06:40,15.1487,76.9278,"Incident occurred near coordinates 15.1487, 76.9278 within the jurisdiction of Ballari Town PS."
79,2021-02-21T23:11:30,2021-02-22T03:11:30,2021-02-24T00:11:30,16.1826,75.68,"Incident occurred near coordinates 16.1826, 75.68 within the jurisdiction of Bagalkot Rural PS."
80,2024-03-05T00:44:30,2024-03-05T03:44:30,2024-03-06T10:44:30,13.3127,77.1225,"Incident occurred near coordinates 13.3127, 77.1225 within the jurisdiction of Tumakuru Rural PS."
81,2025-10-25T01:19:41,2025-10-25T07:19:41,2025-10-25T12:19:41,14.8159,74.7808,"Incident occurred near coordinates 14.8159, 74.7808 within the jurisdiction of Uttara Kannada Rural PS."
82,2021-09-01T15:59:32,2021-09-01T19:59:32,2021-09-03T17:59:32,17.9346,77.457,"Incident occurred near coordinates 17.9346, 77.457 within the jurisdiction of Bidar Rural PS."
83,2024-03-26T20:16:33,2024-03-26T20:16:33,2024-03-28T14:16:33,15.4096,75.6131,"Incident occurred near coordinates 15.4096, 75.6131 within the jurisdiction of Gadag Town PS."
84,2021-10-06T10:27:54,2021-10-06T12:27:54,2021-10-07T22:27:54,12.8629,75.2421,"Incident occurred near coordinates 12.8629, 75.2421 within the jurisdiction of Kadri PS."
85,2023-08-05T12:56:49,2023-08-05T12:56:49,2023-08-06T16:56:49,12.8945,77.5459,"Incident occurred near coordinates 12.8945, 77.5459 within the jurisdiction of Indiranagar PS."
86,2023-09-24T06:31:36,2023-09-24T10:31:36,2023-09-26T04:31:36,15.3387,76.2311,"Incident occurred near coordinates 15.3387, 76.2311 within the jurisdiction of Koppal Town PS."
87,2026-01-19T22:25:26,2026-01-20T03:25:26,2026-01-20T04:25:26,12.2756,76.6436,"Incident occurred near coordinates 12.2756, 76.6436 within the jurisdiction of Devaraja PS."
88,2021-11-26T03:47:55,2021-11-26T03:47:55,2021-11-26T12:47:55,15.4787,75.0001,"Incident occurred near coordinates 15.4787, 75.0001 within the jurisdiction of Dharwad Rural PS."
89,2022-05-13T12:35:02,2022-05-13T14:35:02,2022-05-15T03:35:02,15.8778,74.4885,"Incident occurred near coordinates 15.8778, 74.4885 within the jurisdiction of Market PS."
90,2026-01-14T21:52:05,2026-01-15T00:52:05,2026-01-15T22:52:05,15.2859,76.1772,"Incident occurred near coordinates 15.2859, 76.1772 within the jurisdiction of Koppal Town PS."
91,2022-09-05T06:55:23,2022-09-05T09:55:23,2022-09-05T16:55:23,17.8885,77.5992,"Incident occurred near coordinates 17.8885, 77.5992 within the jurisdiction of Bidar Rural PS."
92,2023-01-12T05:16:19,2023-01-12T07:16:19,2023-01-12T14:16:19,12.9637,77.6356,"Incident occurred near coordinates 12.9637, 77.6356 within the jurisdiction of Indiranagar PS."
93,2025-02-14T15:03:37,2025-02-14T16:03:37,2025-02-15T10:03:37,14.8422,74.7493,"Incident occurred near coordinates 14.8422, 74.7493 within the jurisdiction of Uttara Kannada Rural PS."
94,2023-06-27T11:48:08,2023-06-27T11:48:08,2023-06-28T06:48:08,13.102,78.2006,"Incident occurred near coordinates 13.102, 78.2006 within the jurisdiction of Kolar Town PS."
95,2023-07-14T22:47:12,2023-07-15T04:47:12,2023-07-15T04:47:12,15.3849,75.6807,"Incident occurred near coordinates 15.3849, 75.6807 within the jurisdiction of Gadag Town PS."
96,2026-05-20T22:47:52,2026-05-21T01:47:52,2026-05-21T13:47:52,16.1778,77.3633,"Incident occurred near coordinates 16.1778, 77.3633 within the jurisdiction of Raichur Rural PS."
97,2023-05-12T14:44:29,2023-05-12T20:44:29,2023-05-14T09:44:29,16.8133,77.0775,"Incident occurred near coordinates 16.8133, 77.0775 within the jurisdiction of Yadgir Rural PS."
98,2024-11-05T06:56:45,2024-11-05T06:56:45,2024-11-07T05:56:45,12.4749,76.8497,"Incident occurred near coordinates 12.4749, 76.8497 within the jurisdiction of Mandya Rural PS."
99,2024-11-19T08:27:35,2024-11-19T08:27:35,2024-11-20T13:27:35,12.8745,75.2668,"Incident occurred near coordinates 12.8745, 75.2668 within the jurisdiction of Mangaluru North PS."
100,2024-03-01T06:40:51,2024-03-01T11:40:51,2024-03-03T01:40:51,14.4514,75.9683,"Incident occurred near coordinates 14.4514, 75.9683 within the jurisdiction of Davanagere Rural PS."
101,2021-01-26T01:11:19,2021-01-26T06:11:19,2021-01-27T05:11:19,17.3091,76.7968,"Incident occurred near coordinates 17.3091, 76.7968 within the jurisdiction of Kalaburagi Rural PS."
102,2024-04-04T01:44:59,2024-04-04T07:44:59,2024-04-04T15:44:59,14.5219,75.9046,"Incident occurred near coordinates 14.5219, 75.9046 within the jurisdiction of Davanagere Rural PS."
103,2021-09-27T07:55:40,2021-09-27T07:55:40,2021-09-27T22:55:40,15.453,75.6552,"Incident occurred near coordinates 15.453, 75.6552 within the jurisdiction of Gadag Rural PS."
104,2021-08-15T18:39:58,2021-08-15T18:39:58,2021-08-17T08:39:58,15.2808,76.1942,"Incident occurred near coordinates 15.2808, 76.1942 within the jurisdiction of Koppal Rural PS."
105,2022-01-07T02:18:58,2022-01-07T02:18:58,2022-01-09T01:18:58,13.2834,75.8151,"Incident occurred near coordinates 13.2834, 75.8151 within the jurisdiction of Chikkamagaluru Town PS."
106,2023-11-07T20:13:57,2023-11-08T02:13:57,2023-11-09T02:13:57,13.2538,75.7878,"Incident occurred near coordinates 13.2538, 75.7878 within the jurisdiction of Chikkamagaluru Town PS."
107,2025-04-30T20:44:01,2025-04-30T20:44:01,2025-05-01T05:44:01,12.3577,76.6627,"Incident occurred near coordinates 12.3577, 76.6627 within the jurisdiction of Devaraja PS."
108,2021-08-30T23:40:50,2021-08-31T03:40:50,2021-08-31T23:40:50,12.7917,77.2081,"Incident occurred near coordinates 12.7917, 77.2081 within the jurisdiction of Ramanagara Rural PS."
109,2025-08-26T02:24:39,2025-08-26T08:24:39,2025-08-26T19:24:39,14.3994,75.9341,"Incident occurred near coordinates 14.3994, 75.9341 within the jurisdiction of Davanagere Rural PS."
110,2022-09-30T12:24:04,2022-09-30T16:24:04,2022-10-01T07:24:04,12.7469,77.2509,"Incident occurred near coordinates 12.7469, 77.2509 within the jurisdiction of Ramanagara Rural PS."
111,2026-01-13T22:56:49,2026-01-14T02:56:49,2026-01-14T05:56:49,12.4766,76.9691,"Incident occurred near coordinates 12.4766, 76.9691 within the jurisdiction of Mandya Rural PS."
112,2023-04-04T08:25:22,2023-04-04T14:25:22,2023-04-04T16:25:22,15.8045,74.4398,"Incident occurred near coordinates 15.8045, 74.4398 within the jurisdiction of Khadebazar PS."
113,2021-07-20T07:23:00,2021-07-20T08:23:00,2021-07-22T04:23:00,17.3785,76.7975,"Incident occurred near coordinates 17.3785, 76.7975 within the jurisdiction of Kalaburagi Town PS."
114,2025-03-22T09:51:55,2025-03-22T09:51:55,2025-03-23T15:51:55,16.778,75.732,"Incident occurred near coordinates 16.778, 75.732 within the jurisdiction of Vijayapura Rural PS."
115,2024-01-21T17:20:23,2024-01-21T20:20:23,2024-01-23T10:20:23,12.5271,76.8636,"Incident occurred near coordinates 12.5271, 76.8636 within the jurisdiction of Mandya Town PS."
116,2025-07-17T02:46:40,2025-07-17T08:46:40,2025-07-19T02:46:40,13.472,77.7309,"Incident occurred near coordinates 13.472, 77.7309 within the jurisdiction of Chikkaballapur Town PS."
117,2021-03-29T15:14:02,2021-03-29T20:14:02,2021-03-31T14:14:02,12.8079,75.212,"Incident occurred near coordinates 12.8079, 75.212 within the jurisdiction of Kadri PS."
118,2021-04-28T22:46:55,2021-04-28T22:46:55,2021-04-29T03:46:55,14.2901,76.3403,"Incident occurred near coordinates 14.2901, 76.3403 within the jurisdiction of Chitradurga Town PS."
119,2024-05-14T01:44:35,2024-05-14T05:44:35,2024-05-14T10:44:35,16.7306,77.1749,"Incident occurred near coordinates 16.7306, 77.1749 within the jurisdiction of Yadgir Town PS."
120,2023-09-20T17:02:22,2023-09-20T18:02:22,2023-09-22T10:02:22,12.331,76.6263,"Incident occurred near coordinates 12.331, 76.6263 within the jurisdiction of Krishnaraja PS."
121,2023-03-23T07:05:34,2023-03-23T07:05:34,2023-03-23T14:05:34,13.0145,76.0304,"Incident occurred near coordinates 13.0145, 76.0304 within the jurisdiction of Hassan Rural PS."
122,2024-09-11T00:19:39,2024-09-11T01:19:39,2024-09-11T04:19:39,16.8405,77.1476,"Incident occurred near coordinates 16.8405, 77.1476 within the jurisdiction of Yadgir Town PS."
123,2025-11-12T10:14:49,2025-11-12T14:14:49,2025-11-13T19:14:49,13.2682,77.5295,"Incident occurred near coordinates 13.2682, 77.5295 within the jurisdiction of Bengaluru Rural Town PS."
124,2025-02-28T13:42:04,2025-02-28T18:42:04,2025-03-01T06:42:04,13.3213,77.1837,"Incident occurred near coordinates 13.3213, 77.1837 within the jurisdiction of Tumakuru Rural PS."
125,2026-01-07T05:11:27,2026-01-07T06:11:27,2026-01-08T17:11:27,12.274,76.6766,"Incident occurred near coordinates 12.274, 76.6766 within the jurisdiction of Narasimharaja PS."
126,2024-10-27T02:49:46,2024-10-27T03:49:46,2024-10-27T14:49:46,15.2955,76.1847,"Incident occurred near coordinates 15.2955, 76.1847 within the jurisdiction of Koppal Town PS."
127,2024-04-20T18:46:13,2024-04-20T22:46:13,2024-04-22T00:46:13,16.8237,75.6872,"Incident occurred near coordinates 16.8237, 75.6872 within the jurisdiction of Vijayapura Town PS."
128,2023-06-08T20:37:45,2023-06-09T02:37:45,2023-06-10T09:37:45,16.8223,75.7498,"Incident occurred near coordinates 16.8223, 75.7498 within the jurisdiction of Vijayapura Town PS."
129,2021-06-03T03:24:05,2021-06-03T08:24:05,2021-06-04T12:24:05,15.2909,76.4163,"Incident occurred near coordinates 15.2909, 76.4163 within the jurisdiction of Vijayanagara Rural PS."
130,2023-09-24T21:40:32,2023-09-24T23:40:32,2023-09-26T23:40:32,13.0362,77.5518,"Incident occurred near coordinates 13.0362, 77.5518 within the jurisdiction of Indiranagar PS."
131,2024-03-03T05:08:04,2024-03-03T08:08:04,2024-03-04T23:08:04,16.1068,75.6375,"Incident occurred near coordinates 16.1068, 75.6375 within the jurisdiction of Bagalkot Town PS."
132,2026-07-05T08:08:37,2026-07-05T09:08:37,2026-07-07T05:08:37,17.8413,77.482,"Incident occurred near coordinates 17.8413, 77.482 within the jurisdiction of Bidar Town PS."
133,2024-03-15T16:02:38,2024-03-15T22:02:38,2024-03-16T18:02:38,14.2519,76.4129,"Incident occurred near coordinates 14.2519, 76.4129 within the jurisdiction of Chitradurga Rural PS."
134,2026-07-05T05:19:37,2026-07-05T09:19:37,2026-07-06T22:19:37,13.3663,74.7025,"Incident occurred near coordinates 13.3663, 74.7025 within the jurisdiction of Udupi Rural PS."
135,2023-09-20T22:02:23,2023-09-21T03:02:23,2023-09-21T12:02:23,13.3322,77.0593,"Incident occurred near coordinates 13.3322, 77.0593 within the jurisdiction of Tumakuru Rural PS."
136,2023-07-22T16:08:54,2023-07-22T22:08:54,2023-07-23T09:08:54,16.7647,77.2154,"Incident occurred near coordinates 16.7647, 77.2154 within the jurisdiction of Yadgir Rural PS."
137,2023-10-27T08:47:46,2023-10-27T10:47:46,2023-10-28T05:47:46,13.4551,77.7267,"Incident occurred near coordinates 13.4551, 77.7267 within the jurisdiction of Chikkaballapur Rural PS."
138,2025-07-05T03:37:21,2025-07-05T05:37:21,2025-07-06T06:37:21,17.3238,76.8245,"Incident occurred near coordinates 17.3238, 76.8245 within the jurisdiction of Kalaburagi Town PS."
139,2021-09-09T01:44:22,2021-09-09T04:44:22,2021-09-10T04:44:22,12.8963,77.6227,"Incident occurred near coordinates 12.8963, 77.6227 within the jurisdiction of Indiranagar PS."
140,2024-08-25T22:27:21,2024-08-26T01:27:21,2024-08-26T23:27:21,15.4837,75.5562,"Incident occurred near coordinates 15.4837, 75.5562 within the jurisdiction of Gadag Rural PS."
141,2021-07-22T20:09:10,2021-07-23T02:09:10,2021-07-23T01:09:10,17.4004,76.8613,"Incident occurred near coordinates 17.4004, 76.8613 within the jurisdiction of Kalaburagi Rural PS."
142,2022-08-09T10:03:48,2022-08-09T11:03:48,2022-08-10T12:03:48,15.2726,76.4648,"Incident occurred near coordinates 15.2726, 76.4648 within the jurisdiction of Vijayanagara Rural PS."
143,2021-12-02T21:31:22,2021-12-03T02:31:22,2021-12-02T23:31:22,15.1947,76.9522,"Incident occurred near coordinates 15.1947, 76.9522 within the jurisdiction of Ballari Town PS."
144,2026-02-25T15:22:08,2026-02-25T20:22:08,2026-02-26T03:22:08,13.3513,77.5836,"Incident occurred near coordinates 13.3513, 77.5836 within the jurisdiction of Bengaluru Rural Rural PS."
145,2024-06-27T01:38:20,2024-06-27T03:38:20,2024-06-27T12:38:20,17.3921,76.8096,"Incident occurred near coordinates 17.3921, 76.8096 within the jurisdiction of Kalaburagi Town PS."
